Datum,Gemischtwarenladen,Feiertag,Sonderaktionen,Kundenfrequenz,Beleggröße,Produktverkäufe
01/01/2015,1,JA,NEIN,0,0.00 €,0.00 €
02/01/2015,1,NEIN,JA,2456,32.25 €,"79,224.69 €"
03/01/2015,1,NEIN,JA,4221,21.18 €,"89,409.98 €"
04/01/2015,1,NEIN,JA,0,0.00 €,0.00 €
05/01/2015,1,NEIN,JA,1136,28.91 €,"32,825.69 €"
06/01/2015,1,NEIN,JA,1757,22.79 €,"40,048.82 €"
07/01/2015,1,NEIN,NEIN,833,27.05 €,"22,524.00 €"
08/01/2015,1,NEIN,NEIN,535,32.16 €,"17,200.30 €"
09/01/2015,1,NEIN,NEIN,2114,22.96 €,"48,534.86 €"
10/01/2015,1,NEIN,NEIN,1890,28.46 €,"53,784.62 €"
11/01/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
12/01/2015,1,NEIN,NEIN,1261,21.44 €,"27,033.21 €"
13/01/2015,1,NEIN,NEIN,712,42.30 €,"30,125.55 €"
14/01/2015,1,NEIN,NEIN,2396,14.88 €,"35,647.59 €"
15/01/2015,1,NEIN,NEIN,1811,16.67 €,"30,195.56 €"
16/01/2015,1,NEIN,NEIN,2430,27.62 €,"67,114.70 €"
17/01/2015,1,NEIN,NEIN,3520,15.11 €,"53,179.39 €"
18/01/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
19/01/2015,1,NEIN,NEIN,1381,25.95 €,"35,844.25 €"
20/01/2015,1,NEIN,NEIN,831,32.41 €,"26,943.16 €"
21/01/2015,1,NEIN,NEIN,649,39.41 €,"25,561.10 €"
22/01/2015,1,NEIN,NEIN,729,27.90 €,"20,334.62 €"
23/01/2015,1,NEIN,NEIN,2306,23.51 €,"54,204.24 €"
24/01/2015,1,NEIN,NEIN,2506,26.44 €,"66,257.98 €"
25/01/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
26/01/2015,1,NEIN,NEIN,863,29.48 €,"25,448.61 €"
27/01/2015,1,NEIN,NEIN,1035,26.36 €,"27,294.98 €"
28/01/2015,1,NEIN,NEIN,1446,20.42 €,"29,540.74 €"
29/01/2015,1,NEIN,NEIN,676,28.19 €,"19,050.36 €"
30/01/2015,1,NEIN,NEIN,1595,38.96 €,"62,148.40 €"
31/01/2015,1,NEIN,NEIN,2418,26.78 €,"64,759.39 €"
01/02/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
02/02/2015,1,NEIN,NEIN,1491,18.80 €,"28,028.77 €"
03/02/2015,1,NEIN,NEIN,767,45.57 €,"34,962.44 €"
04/02/2015,1,NEIN,NEIN,892,32.83 €,"29,285.84 €"
05/02/2015,1,NEIN,NEIN,313,40.93 €,"12,816.16 €"
06/02/2015,1,NEIN,NEIN,2885,20.25 €,"58,425.87 €"
07/02/2015,1,NEIN,NEIN,2927,19.66 €,"57,538.91 €"
08/02/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
09/02/2015,1,NEIN,NEIN,741,31.53 €,"23,362.98 €"
10/02/2015,1,NEIN,NEIN,1039,27.33 €,"28,399.20 €"
11/02/2015,1,NEIN,NEIN,804,29.19 €,"23,458.33 €"
12/02/2015,1,NEIN,NEIN,1410,15.97 €,"22,520.31 €"
13/02/2015,1,NEIN,NEIN,2190,26.53 €,"58,110.52 €"
14/02/2015,1,NEIN,NEIN,1771,27.34 €,"48,413.67 €"
15/02/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
16/02/2015,1,NEIN,NEIN,1044,31.74 €,"33,144.56 €"
17/02/2015,1,NEIN,NEIN,1009,31.78 €,"32,080.96 €"
18/02/2015,1,NEIN,NEIN,1153,25.31 €,"29,186.47 €"
19/02/2015,1,NEIN,NEIN,1896,14.95 €,"28,343.80 €"
20/02/2015,1,NEIN,NEIN,3224,17.50 €,"56,409.27 €"
21/02/2015,1,NEIN,NEIN,2737,19.09 €,"52,248.06 €"
22/02/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
23/02/2015,1,NEIN,NEIN,1104,26.85 €,"29,636.52 €"
24/02/2015,1,NEIN,NEIN,664,35.59 €,"23,651.57 €"
25/02/2015,1,NEIN,NEIN,1151,24.09 €,"27,725.27 €"
26/02/2015,1,NEIN,NEIN,750,24.85 €,"18,628.76 €"
27/02/2015,1,NEIN,NEIN,3511,15.95 €,"55,990.15 €"
28/02/2015,1,NEIN,NEIN,2116,26.54 €,"56,145.92 €"
01/03/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
02/03/2015,1,NEIN,NEIN,991,33.39 €,"33,091.11 €"
03/03/2015,1,NEIN,NEIN,1162,26.24 €,"30,481.17 €"
04/03/2015,1,NEIN,NEIN,1167,25.68 €,"29,980.12 €"
05/03/2015,1,NEIN,NEIN,644,25.90 €,"16,689.49 €"
06/03/2015,1,NEIN,NEIN,2062,29.30 €,"60,419.06 €"
07/03/2015,1,NEIN,NEIN,3060,19.84 €,"60,718.93 €"
08/03/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
09/03/2015,1,NEIN,NEIN,1563,22.27 €,"34,819.12 €"
10/03/2015,1,NEIN,NEIN,1460,20.13 €,"29,380.62 €"
11/03/2015,1,NEIN,NEIN,1645,17.21 €,"28,314.26 €"
12/03/2015,1,NEIN,NEIN,1547,14.74 €,"22,805.96 €"
13/03/2015,1,NEIN,NEIN,3376,16.29 €,"54,989.06 €"
14/03/2015,1,NEIN,NEIN,4089,15.55 €,"63,578.61 €"
15/03/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
16/03/2015,1,NEIN,NEIN,1387,24.03 €,"33,334.24 €"
17/03/2015,1,NEIN,NEIN,971,23.25 €,"22,565.37 €"
18/03/2015,1,NEIN,NEIN,799,25.64 €,"20,480.61 €"
19/03/2015,1,NEIN,NEIN,2338,14.20 €,"33,195.88 €"
20/03/2015,1,NEIN,NEIN,1810,22.77 €,"41,221.67 €"
21/03/2015,1,NEIN,NEIN,2107,25.56 €,"53,854.81 €"
22/03/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
23/03/2015,1,NEIN,NEIN,523,36.83 €,"19,250.61 €"
24/03/2015,1,NEIN,NEIN,630,31.56 €,"19,878.34 €"
25/03/2015,1,NEIN,NEIN,853,30.73 €,"26,223.17 €"
26/03/2015,1,NEIN,NEIN,1283,18.87 €,"24,218.60 €"
27/03/2015,1,NEIN,NEIN,2532,26.52 €,"67,153.22 €"
