Datum,Schicht,Gemischtwarenladen,Anzahl Mitarbeitende,Quota Erfüllt
01.01.2015,Nachmittagsschicht,8,1,JA
01.01.2015,Nachmittagsschicht,7,1,JA
01.01.2015,Nachmittagsschicht,3,1,JA
01.01.2015,Nachmittagsschicht,2,0,NEIN
01.01.2015,Nachmittagsschicht,4,1,JA
01.01.2015,Nachmittagsschicht,5,1,JA
01.01.2015,Nachmittagsschicht,6,1,JA
01.01.2015,Nachmittagsschicht,1,1,JA
01.01.2015,Morgenschicht,8,0,NEIN
01.01.2015,Morgenschicht,7,0,NEIN
01.01.2015,Morgenschicht,3,0,NEIN
01.01.2015,Morgenschicht,2,1,JA
01.01.2015,Morgenschicht,4,0,NEIN
01.01.2015,Morgenschicht,5,1,JA
01.01.2015,Morgenschicht,6,0,NEIN
01.01.2015,Morgenschicht,1,0,NEIN
02.01.2015,Nachmittagsschicht,8,1,JA
02.01.2015,Nachmittagsschicht,7,1,JA
02.01.2015,Nachmittagsschicht,3,1,JA
02.01.2015,Nachmittagsschicht,2,0,NEIN
02.01.2015,Nachmittagsschicht,4,1,JA
02.01.2015,Nachmittagsschicht,5,1,JA
02.01.2015,Nachmittagsschicht,6,1,JA
02.01.2015,Nachmittagsschicht,1,1,JA
02.01.2015,Morgenschicht,8,0,NEIN
02.01.2015,Morgenschicht,7,0,NEIN
02.01.2015,Morgenschicht,3,0,NEIN
02.01.2015,Morgenschicht,2,1,JA
02.01.2015,Morgenschicht,4,0,NEIN
02.01.2015,Morgenschicht,5,1,JA
02.01.2015,Morgenschicht,6,0,NEIN
02.01.2015,Morgenschicht,1,0,NEIN
03.01.2015,Nachmittagsschicht,8,1,JA
03.01.2015,Nachmittagsschicht,7,1,JA
03.01.2015,Nachmittagsschicht,3,1,JA
03.01.2015,Nachmittagsschicht,2,0,NEIN
03.01.2015,Nachmittagsschicht,4,1,JA
03.01.2015,Nachmittagsschicht,5,1,JA
03.01.2015,Nachmittagsschicht,6,1,JA
03.01.2015,Nachmittagsschicht,1,1,JA
03.01.2015,Morgenschicht,8,0,NEIN
03.01.2015,Morgenschicht,7,0,NEIN
03.01.2015,Morgenschicht,3,0,NEIN
03.01.2015,Morgenschicht,2,1,JA
03.01.2015,Morgenschicht,4,0,NEIN
03.01.2015,Morgenschicht,5,1,JA
03.01.2015,Morgenschicht,6,0,NEIN
03.01.2015,Morgenschicht,1,0,NEIN
04.01.2015,Nachmittagsschicht,8,1,JA
04.01.2015,Nachmittagsschicht,7,1,JA
04.01.2015,Nachmittagsschicht,3,1,JA
04.01.2015,Nachmittagsschicht,2,0,NEIN
04.01.2015,Nachmittagsschicht,4,1,JA
04.01.2015,Nachmittagsschicht,5,1,JA
04.01.2015,Nachmittagsschicht,6,1,JA
04.01.2015,Nachmittagsschicht,1,1,JA
04.01.2015,Morgenschicht,8,0,NEIN
04.01.2015,Morgenschicht,7,0,NEIN
04.01.2015,Morgenschicht,3,0,NEIN
04.01.2015,Morgenschicht,2,1,JA
04.01.2015,Morgenschicht,4,0,NEIN
04.01.2015,Morgenschicht,5,1,JA
04.01.2015,Morgenschicht,6,0,NEIN
04.01.2015,Morgenschicht,1,0,NEIN
05.01.2015,Nachmittagsschicht,8,1,JA
05.01.2015,Nachmittagsschicht,7,1,JA
05.01.2015,Nachmittagsschicht,3,1,JA
05.01.2015,Nachmittagsschicht,2,0,NEIN
05.01.2015,Nachmittagsschicht,4,1,JA
05.01.2015,Nachmittagsschicht,5,1,JA
05.01.2015,Nachmittagsschicht,6,1,JA
05.01.2015,Nachmittagsschicht,1,1,JA
05.01.2015,Morgenschicht,8,0,NEIN
05.01.2015,Morgenschicht,7,0,NEIN
05.01.2015,Morgenschicht,3,0,NEIN
05.01.2015,Morgenschicht,2,1,JA
05.01.2015,Morgenschicht,4,0,NEIN
05.01.2015,Morgenschicht,5,1,JA
05.01.2015,Morgenschicht,6,0,NEIN
05.01.2015,Morgenschicht,1,0,NEIN
06.01.2015,Nachmittagsschicht,8,1,JA
06.01.2015,Nachmittagsschicht,7,1,JA
06.01.2015,Nachmittagsschicht,3,1,JA
06.01.2015,Nachmittagsschicht,2,0,NEIN
06.01.2015,Nachmittagsschicht,4,1,JA
06.01.2015,Nachmittagsschicht,5,1,JA
06.01.2015,Nachmittagsschicht,6,1,JA
06.01.2015,Nachmittagsschicht,1,1,JA
06.01.2015,Morgenschicht,8,0,NEIN
06.01.2015,Morgenschicht,7,0,NEIN
06.01.2015,Morgenschicht,3,0,NEIN
06.01.2015,Morgenschicht,2,1,JA
06.01.2015,Morgenschicht,4,0,NEIN
06.01.2015,Morgenschicht,5,1,JA
06.01.2015,Morgenschicht,6,0,NEIN
06.01.2015,Morgenschicht,1,0,NEIN
07.01.2015,Nachmittagsschicht,8,1,JA
07.01.2015,Nachmittagsschicht,7,1,JA
07.01.2015,Nachmittagsschicht,3,1,JA
07.01.2015,Nachmittagsschicht,2,0,NEIN
07.01.2015,Nachmittagsschicht,4,1,JA
07.01.2015,Nachmittagsschicht,5,1,JA
07.01.2015,Nachmittagsschicht,6,1,JA
07.01.2015,Nachmittagsschicht,1,1,JA
07.01.2015,Morgenschicht,8,0,NEIN
07.01.2015,Morgenschicht,7,0,NEIN
07.01.2015,Morgenschicht,3,0,NEIN
07.01.2015,Morgenschicht,2,1,JA
07.01.2015,Morgenschicht,4,0,NEIN
07.01.2015,Morgenschicht,5,1,JA
07.01.2015,Morgenschicht,6,0,NEIN
07.01.2015,Morgenschicht,1,0,NEIN
08.01.2015,Nachmittagsschicht,8,1,JA
08.01.2015,Nachmittagsschicht,7,1,JA
08.01.2015,Nachmittagsschicht,3,1,JA
08.01.2015,Nachmittagsschicht,2,0,NEIN
08.01.2015,Nachmittagsschicht,4,1,JA
08.01.2015,Nachmittagsschicht,5,1,JA
08.01.2015,Nachmittagsschicht,6,1,JA
08.01.2015,Nachmittagsschicht,1,1,JA
08.01.2015,Morgenschicht,8,0,NEIN
08.01.2015,Morgenschicht,7,0,NEIN
08.01.2015,Morgenschicht,3,0,NEIN
08.01.2015,Morgenschicht,2,1,JA
08.01.2015,Morgenschicht,4,0,NEIN
08.01.2015,Morgenschicht,5,1,JA
08.01.2015,Morgenschicht,6,0,NEIN
08.01.2015,Morgenschicht,1,0,NEIN
09.01.2015,Nachmittagsschicht,8,1,JA
09.01.2015,Nachmittagsschicht,7,1,JA
09.01.2015,Nachmittagsschicht,3,1,JA
09.01.2015,Nachmittagsschicht,2,0,NEIN
09.01.2015,Nachmittagsschicht,4,1,JA
09.01.2015,Nachmittagsschicht,5,1,JA
09.01.2015,Nachmittagsschicht,6,1,JA
09.01.2015,Nachmittagsschicht,1,1,JA
09.01.2015,Morgenschicht,8,0,NEIN
09.01.2015,Morgenschicht,7,0,NEIN
09.01.2015,Morgenschicht,3,0,NEIN
09.01.2015,Morgenschicht,2,1,JA
09.01.2015,Morgenschicht,4,0,NEIN
09.01.2015,Morgenschicht,5,1,JA
09.01.2015,Morgenschicht,6,0,NEIN
09.01.2015,Morgenschicht,1,0,NEIN
10.01.2015,Nachmittagsschicht,8,1,JA
10.01.2015,Nachmittagsschicht,7,1,JA
10.01.2015,Nachmittagsschicht,3,1,JA
10.01.2015,Nachmittagsschicht,2,0,NEIN
10.01.2015,Nachmittagsschicht,4,1,JA
10.01.2015,Nachmittagsschicht,5,1,JA
10.01.2015,Nachmittagsschicht,6,1,JA
10.01.2015,Nachmittagsschicht,1,1,JA
10.01.2015,Morgenschicht,8,0,NEIN
10.01.2015,Morgenschicht,7,0,NEIN
10.01.2015,Morgenschicht,3,0,NEIN
10.01.2015,Morgenschicht,2,1,JA
10.01.2015,Morgenschicht,4,0,NEIN
10.01.2015,Morgenschicht,5,1,JA
10.01.2015,Morgenschicht,6,0,NEIN
10.01.2015,Morgenschicht,1,0,NEIN
