ID Nummer,Schicht,Datum,Anwesend
ID75458,Morgenschicht,27.02.2015,1
ID75458,Morgenschicht,04.03.2015,1
ID75458,Morgenschicht,06.03.2015,1
ID75458,Morgenschicht,07.03.2015,1
ID75458,Morgenschicht,12.03.2015,1
ID75458,Morgenschicht,14.03.2015,1
ID75458,Morgenschicht,16.03.2015,1
ID75458,Morgenschicht,17.03.2015,1
ID75458,Morgenschicht,21.03.2015,1
ID75458,Morgenschicht,23.03.2015,1
ID75458,Morgenschicht,01.04.2015,1
ID75458,Morgenschicht,02.04.2015,1
ID75458,Morgenschicht,06.04.2015,1
ID75458,Morgenschicht,07.04.2015,1
ID75458,Morgenschicht,08.04.2015,1
ID75458,Morgenschicht,09.04.2015,1
ID75458,Morgenschicht,13.04.2015,1
ID75458,Morgenschicht,14.04.2015,1
ID75458,Morgenschicht,16.04.2015,1
ID75458,Morgenschicht,18.04.2015,1
ID75458,Morgenschicht,20.04.2015,1
ID75458,Morgenschicht,21.04.2015,1
ID75458,Morgenschicht,23.04.2015,1
ID75458,Morgenschicht,25.04.2015,1
ID75458,Morgenschicht,27.04.2015,1
ID75458,Morgenschicht,29.04.2015,1
ID75458,Morgenschicht,30.04.2015,1
ID75458,Morgenschicht,01.05.2015,1
ID75458,Morgenschicht,02.05.2015,1
ID75458,Morgenschicht,05.05.2015,1
ID75458,Morgenschicht,07.05.2015,1
ID75458,Morgenschicht,08.05.2015,1
ID75458,Morgenschicht,12.05.2015,1
ID75458,Morgenschicht,13.05.2015,1
ID75458,Morgenschicht,15.05.2015,1
ID75458,Morgenschicht,16.05.2015,1
ID75458,Morgenschicht,18.05.2015,1
ID75458,Morgenschicht,19.05.2015,1
ID75458,Morgenschicht,21.05.2015,1
ID75458,Morgenschicht,22.05.2015,1
ID75458,Morgenschicht,25.05.2015,1
ID75458,Morgenschicht,27.05.2015,1
ID75458,Morgenschicht,29.05.2015,1
ID75458,Morgenschicht,30.05.2015,1
ID75458,Morgenschicht,01.06.2015,1
ID75458,Morgenschicht,02.06.2015,1
ID75458,Morgenschicht,08.06.2015,1
ID75458,Morgenschicht,16.06.2015,1
ID75458,Morgenschicht,17.06.2015,1
ID75458,Morgenschicht,18.06.2015,1
ID75458,Morgenschicht,19.06.2015,1
ID75458,Morgenschicht,22.06.2015,1
ID75458,Morgenschicht,23.06.2015,1
ID75458,Morgenschicht,24.06.2015,1
ID75458,Morgenschicht,25.06.2015,1
ID75458,Morgenschicht,26.06.2015,1
ID75458,Morgenschicht,01.07.2015,1
ID75458,Morgenschicht,02.07.2015,1
ID75458,Morgenschicht,03.07.2015,1
ID75458,Morgenschicht,04.07.2015,1
ID75458,Morgenschicht,06.07.2015,1
ID75458,Morgenschicht,08.07.2015,1
ID75458,Morgenschicht,10.07.2015,1
ID75458,Morgenschicht,13.07.2015,1
ID75458,Morgenschicht,14.07.2015,1
ID75458,Morgenschicht,15.07.2015,1
ID75458,Morgenschicht,16.07.2015,1
ID75458,Morgenschicht,17.07.2015,1
ID75458,Morgenschicht,20.07.2015,1
ID75458,Morgenschicht,25.07.2015,1
ID75458,Morgenschicht,27.07.2015,1
ID75458,Morgenschicht,29.07.2015,1
ID75458,Morgenschicht,30.07.2015,1
ID75458,Morgenschicht,01.08.2015,1
ID75458,Morgenschicht,04.08.2015,1
ID75458,Morgenschicht,07.08.2015,1
ID75458,Morgenschicht,11.08.2015,1
ID75458,Morgenschicht,13.08.2015,1
ID75458,Morgenschicht,14.08.2015,1
ID75458,Morgenschicht,02.09.2015,1
ID75458,Morgenschicht,05.09.2015,1
ID75458,Morgenschicht,09.09.2015,1
ID75458,Morgenschicht,01.10.2015,1
ID75458,Morgenschicht,20.10.2015,1
ID75458,Morgenschicht,29.10.2015,1
ID75458,Morgenschicht,14.11.2015,1
ID75458,Morgenschicht,24.11.2015,1
ID75458,Morgenschicht,01.12.2015,1
ID75458,Morgenschicht,12.12.2015,1
ID75458,Nachmittagsschicht,09.01.2015,1
ID75458,Nachmittagsschicht,28.02.2015,1
ID75458,Nachmittagsschicht,02.03.2015,1
ID75458,Nachmittagsschicht,03.03.2015,1
ID75458,Nachmittagsschicht,05.03.2015,1
ID75458,Nachmittagsschicht,09.03.2015,1
ID75458,Nachmittagsschicht,10.03.2015,1
