Tag,Strombedarf
2015-01-01,274134.79
2015-01-02,322136.56
2015-01-03,303240.65
2015-01-04,294389.81
2015-01-05,356379.96
2015-01-06,358616.19
2015-01-07,387113.54
2015-01-08,393249.66
2015-01-09,387837.96
2015-01-10,332435.31
2015-01-11,311239.87
2015-01-12,392943.38
2015-01-13,389337.22
2015-01-14,388452.47
2015-01-15,395094.2
2015-01-16,383407.54
2015-01-17,332155.2
2015-01-18,310688.34
2015-01-19,389875.0
2015-01-20,398753.84
2015-01-21,398478.98
2015-01-22,401368.72
2015-01-23,394936.56
2015-01-24,347862.64
2015-01-25,316173.52
2015-01-26,395139.0
2015-01-27,397948.01
2015-01-28,403237.37
2015-01-29,399032.2
2015-01-30,390600.61
2015-01-31,336186.92
2015-02-01,312499.88
2015-02-02,398018.92
2015-02-03,405113.27
2015-02-04,406462.82
2015-02-05,405764.77
2015-02-06,399211.58
2015-02-07,348687.1
2015-02-08,320175.69
2015-02-09,398851.37
2015-02-10,399823.03
2015-02-11,398553.33
2015-02-12,398179.75
2015-02-13,390503.07
2015-02-14,336818.05
2015-02-15,310518.07
2015-02-16,377966.35
2015-02-17,395139.0
2015-02-18,397252.64
2015-02-19,398884.86
2015-02-20,389166.27
2015-02-21,333826.35
2015-02-22,309620.27
2015-02-23,392833.72
2015-02-24,396059.92
2015-02-25,390739.88
2015-02-26,390236.71
2015-02-27,387015.45
2015-02-28,332945.72
2015-03-01,308596.5
2015-03-02,381798.75
2015-03-03,390305.57
2015-03-04,392954.5
2015-03-05,390495.64
2015-03-06,382523.86
2015-03-07,326913.2
2015-03-08,293777.74
2015-03-09,369981.51
2015-03-10,381326.45
2015-03-11,380056.12
2015-03-12,380277.81
2015-03-13,377115.97
2015-03-14,329265.59
2015-03-15,302648.76
2015-03-16,372799.39
2015-03-17,371447.27
2015-03-18,369057.64
2015-03-19,371630.78
2015-03-20,368197.7
2015-03-21,324158.8
2015-03-22,294582.57
2015-03-23,368532.73
2015-03-24,374189.36
2015-03-25,370664.75
2015-03-26,375635.64
2015-03-27,373087.37
2015-03-28,318593.83
2015-03-29,284038.15
2015-03-30,372582.26
2015-03-31,382541.48
2015-04-01,382479.74
2015-04-02,373653.89
2015-04-03,293458.08
2015-04-04,292470.55
2015-04-05,269649.39
2015-04-06,275868.73
2015-04-07,361583.66
2015-04-08,364492.51
2015-04-09,357549.81
2015-04-10,350772.37
2015-04-11,304918.36
2015-04-12,275991.45
2015-04-13,355618.86
2015-04-14,362865.6
2015-04-15,361554.48
2015-04-16,358846.63
2015-04-17,355006.16
2015-04-18,301057.53
2015-04-19,274592.22
2015-04-20,349663.07
2015-04-21,355269.78
2015-04-22,349675.0
2015-04-23,347351.85
2015-04-24,344313.97
2015-04-25,296807.49
2015-04-26,268917.91
2015-04-27,353311.77
2015-04-28,358729.85
2015-04-29,358125.96
2015-04-30,352926.38
2015-05-01,268815.75
2015-05-02,277729.45
2015-05-03,272726.57
2015-05-04,346344.95
2015-05-05,359490.32
2015-05-06,355554.07
2015-05-07,355839.24
2015-05-08,346071.16
2015-05-09,296789.06
2015-05-10,268269.78
2015-05-11,347848.27
2015-05-12,354181.09
2015-05-13,348251.28
2015-05-14,272411.1
2015-05-15,307791.92
2015-05-16,286165.79
2015-05-17,265282.95
2015-05-18,342797.34
2015-05-19,357067.26
2015-05-20,351544.09
2015-05-21,351188.63
2015-05-22,344983.22
2015-05-23,290458.93
2015-05-24,250937.3
2015-05-25,258057.64
2015-05-26,338317.69
2015-05-27,348560.82
2015-05-28,350469.4
2015-05-29,344206.06
2015-05-30,296113.13
2015-05-31,267154.79
2015-06-01,339196.0
2015-06-02,356409.39
2015-06-03,351445.56
2015-06-04,299096.09
2015-06-05,327539.27
2015-06-06,293497.07
2015-06-07,263062.14
2015-06-08,343264.33
2015-06-09,353352.26
2015-06-10,354471.69
2015-06-11,351130.65
2015-06-12,349046.24
2015-06-13,295803.16
2015-06-14,263724.89
2015-06-15,338494.63
2015-06-16,344694.99
2015-06-17,345729.13
2015-06-18,349539.79
2015-06-19,345821.79
2015-06-20,289483.84
2015-06-21,266594.13
2015-06-22,341066.96
2015-06-23,350874.97
2015-06-24,354410.9
2015-06-25,349948.42
2015-06-26,343492.96
2015-06-27,294209.05
2015-06-28,262234.26
2015-06-29,340148.16
2015-06-30,345522.25
2015-07-01,355782.5
2015-07-02,365293.97
2015-07-03,358150.89
2015-07-04,303952.39
2015-07-05,276470.12
2015-07-06,351703.55
2015-07-07,359461.64
2015-07-08,358914.17
