Tag,Strombedarf
2015-01-01,487403.4
2015-01-02,572749.1
2015-01-03,539152.75
2015-01-04,523416.21
2015-01-05,633632.83
2015-01-06,637608.79
2015-01-07,688276.22
2015-01-08,699186.05
2015-01-09,689564.21
2015-01-10,591059.96
2015-01-11,553375.11
2015-01-12,698641.48
2015-01-13,692229.85
2015-01-14,690656.79
2015-01-15,702465.58
2015-01-16,681687.06
2015-01-17,590561.93
2015-01-18,552394.5
2015-01-19,693186.01
2015-01-20,708972.31
2015-01-21,708483.62
2015-01-22,713621.49
2015-01-23,702185.3
2015-01-24,618489.3
2015-01-25,562146.99
2015-01-26,702545.23
2015-01-27,707539.57
2015-01-28,716943.89
2015-01-29,709467.22
2015-01-30,694476.11
2015-01-31,597730.21
2015-02-01,555615.37
2015-02-02,707665.66
2015-02-03,720279.19
2015-02-04,722678.65
2015-02-05,721437.54
2015-02-06,709786.17
2015-02-07,619955.15
2015-02-08,569262.72
2015-02-09,709145.73
2015-02-10,710873.31
2015-02-11,708615.82
2015-02-12,707951.6
2015-02-13,694302.7
2015-02-14,598852.35
2015-02-15,552091.78
2015-02-16,672012.78
2015-02-17,702545.23
2015-02-18,706303.23
2015-02-19,709205.27
2015-02-20,691925.9
2015-02-21,593533.18
2015-02-22,550495.51
2015-02-23,698446.52
2015-02-24,704182.61
2015-02-25,694723.74
2015-02-26,693829.12
2015-02-27,688101.8
2015-02-28,591967.46
2015-03-01,548675.27
2015-03-02,678826.68
2015-03-03,693951.54
2015-03-04,698661.26
2015-03-05,694289.48
2015-03-06,680115.89
2015-03-07,581241.81
2015-03-08,522327.96
2015-03-09,657815.97
2015-03-10,677986.94
2015-03-11,675728.34
2015-03-12,676122.49
2015-03-13,670500.82
2015-03-14,585424.29
2015-03-15,538100.38
2015-03-16,662826.08
2015-03-17,660422.06
2015-03-18,656173.37
2015-03-19,660748.34
2015-03-20,654644.42
2015-03-21,576344.57
2015-03-22,523758.93
2015-03-23,655240.09
2015-03-24,665297.42
2015-03-25,659030.75
2015-03-26,667868.85
2015-03-27,663338.1
2015-03-28,566450.22
2015-03-29,505011.27
2015-03-30,662440.04
2015-03-31,680147.22
2015-04-01,680037.46
2015-04-02,664345.36
2015-04-03,521759.62
2015-04-04,520003.82
2015-04-05,479428.48
2015-04-06,490486.29
2015-04-07,642884.85
2015-04-08,648056.71
2015-04-09,635712.79
2015-04-10,623662.71
2015-04-11,542135.66
2015-04-12,490704.48
2015-04-13,632279.62
2015-04-14,645164.11
2015-04-15,642832.97
2015-04-16,638018.49
2015-04-17,631190.26
2015-04-18,535271.22
2015-04-19,488216.7
2015-04-20,621690.4
2015-04-21,631658.96
2015-04-22,621711.61
2015-04-23,617581.13
2015-04-24,612179.87
2015-04-25,527714.78
2015-04-26,478127.94
2015-04-27,628177.69
2015-04-28,637810.86
2015-04-29,636737.16
2015-04-30,627492.47
2015-05-01,477946.3
2015-05-02,493794.59
2015-05-03,484899.62
2015-05-04,615790.89
2015-05-05,639162.95
2015-05-06,632164.42
2015-05-07,632671.44
2015-05-08,615304.09
2015-05-09,527682.01
2015-05-10,476975.59
2015-05-11,618463.75
2015-05-12,629723.3
2015-05-13,619180.29
2015-05-14,484338.72
2015-05-15,547244.75
2015-05-16,508794.15
2015-05-17,471665.09
2015-05-18,609483.35
2015-05-19,634854.83
2015-05-20,625034.8
2015-05-21,624402.8
2015-05-22,613369.77
2015-05-23,516427.23
2015-05-24,446158.96
2015-05-25,458818.71
2015-05-26,601518.65
2015-05-27,619730.63
2015-05-28,623124.03
2015-05-29,611988.01
2015-05-30,526480.22
2015-05-31,474993.16
2015-06-01,603080.26
2015-06-02,633685.15
2015-06-03,624859.61
2015-06-04,531783.84
2015-06-05,582354.95
2015-06-06,521828.94
2015-06-07,467716.57
2015-06-08,610313.64
2015-06-09,628249.67
2015-06-10,630239.99
2015-06-11,624299.71
2015-06-12,620593.7
2015-06-13,525929.1
2015-06-14,468894.91
2015-06-15,601833.26
2015-06-16,612857.3
2015-06-17,614695.97
2015-06-18,621471.21
2015-06-19,614860.72
2015-06-20,514693.54
2015-06-21,473996.34
2015-06-22,606406.78
2015-06-23,623845.12
2015-06-24,630131.89
2015-06-25,622197.75
2015-06-26,610720.13
2015-06-27,523094.83
2015-06-28,466244.61
2015-06-29,604773.18
2015-06-30,614328.15
2015-07-01,632570.57
2015-07-02,649481.67
2015-07-03,636781.49
2015-07-04,540418.19
2015-07-05,491555.55
2015-07-06,625318.31
2015-07-07,639111.96
2015-07-08,638138.58
2015-07-09,627072.55
2015-07-10,611796.05
2015-07-11,520160.46
2015-07-12,480946.66
2015-07-13,616162.16
2015-07-14,632020.22
2015-07-15,630751.23
2015-07-16,632269.18
2015-07-17,627068.77
2015-07-18,521445.9
2015-07-19,477843.54
2015-07-20,611172.05
2015-07-21,636401.78
2015-07-22,637790.53
2015-07-23,625324.75
2015-07-24,613270.34
2015-07-25,534714.2
2015-07-26,469328.17
2015-07-27,601001.52
2015-07-28,616939.46
2015-07-29,612551.47
2015-07-30,612181.2
2015-07-31,592905.18
2015-08-01,506601.65
2015-08-02,462216.32
2015-08-03,596084.4
2015-08-04,612644.34
2015-08-05,602994.39
2015-08-06,615581.7
2015-08-07,604020.21
2015-08-08,528403.88
2015-08-09,478892.47
2015-08-10,599482.68
2015-08-11,617544.36
2015-08-12,616481.43
2015-08-13,619332.59
2015-08-14,608945.77
2015-08-15,512493.49
2015-08-16,472770.78
2015-08-17,598593.84
2015-08-18,605731.24
2015-08-19,602542.14
2015-08-20,605977.75
2015-08-21,596539.09
2015-08-22,513859.8
2015-08-23,475178.68
2015-08-24,610718.68
2015-08-25,626147.94
2015-08-26,627435.6
2015-08-27,628735.25
2015-08-28,613452.08
2015-08-29,521930.92
2015-08-30,479751.2
2015-08-31,620297.64
2015-09-01,637770.87
2015-09-02,626563.31
2015-09-03,622234.19
2015-09-04,615052.02
2015-09-05,528271.68
2015-09-06,488412.77
2015-09-07,614373.7
2015-09-08,628478.41
2015-09-09,622829.64
2015-09-10,624148.51
2015-09-11,619209.95
2015-09-12,531585.98
2015-09-13,485809.68
2015-09-14,625490.83
2015-09-15,643130.25
2015-09-16,644333.15
2015-09-17,648093.14
2015-09-18,622453.93
2015-09-19,527164.1
2015-09-20,484784.75
2015-09-21,618000.5
2015-09-22,637934.51
2015-09-23,637463.03
2015-09-24,637196.97
2015-09-25,628091.48
2015-09-26,538979.56
2015-09-27,486629.42
2015-09-28,625332.08
2015-09-29,642576.79
2015-09-30,639531.11
2015-10-01,627236.63
