Tag,Strombedarf
2015-01-01,11797.996469433223
2015-01-02,13863.858817786075
2015-01-03,13050.631634309884
2015-01-04,12669.71601188903
2015-01-05,15337.598971847172
2015-01-06,15433.840307259106
2015-01-07,16660.286749990562
2015-01-08,16924.368241621312
2015-01-09,16691.46367211311
2015-01-10,14307.08794860315
2015-01-11,13394.895415387771
2015-01-12,16911.186486209484
2015-01-13,16755.987585027593
2015-01-14,16717.910543691105
2015-01-15,17003.751881260756
2015-01-16,16500.79073637536
2015-01-17,14295.032907903185
2015-01-18,13371.159112854071
2015-01-19,16779.132295111154
2015-01-20,17161.252614885023
2015-01-21,17149.42345493875
2015-01-22,17273.789633241813
2015-01-23,16996.96739148025
2015-01-24,14971.037533512066
2015-01-25,13607.226012913947
2015-01-26,17005.679934836906
2015-01-27,17126.571852023673
2015-01-28,17354.2112487256
2015-01-29,17173.232362000424
2015-01-30,16810.36030930894
2015-01-31,14468.54697353019
2015-02-01,13449.122930613172
2015-02-02,17129.623931255093
2015-02-03,17434.94479477401
2015-02-04,17493.025728095115
2015-02-05,17462.983587854207
2015-02-06,17180.952643474793
2015-02-07,15006.519635237702
2015-02-08,13779.468154773145
2015-02-09,17165.450232224448
2015-02-10,17207.2677512798
2015-02-11,17152.623432282708
2015-02-12,17136.54556292177
2015-02-13,16806.162691969515
2015-02-14,14495.709134161541
2015-02-15,13363.83143364207
2015-02-16,16266.616932155941
2015-02-17,17005.679934836906
2015-02-18,17096.6453412162
2015-02-19,17166.891566557526
2015-02-20,16748.630326193088
2015-02-21,14366.954415501052
2015-02-22,13325.192379477941
2015-02-23,16906.467191891297
2015-02-24,17045.31393993991
2015-02-25,16816.354216451527
2015-02-26,16794.699243719693
2015-02-27,16656.064931141813
2015-02-28,14329.054851899604
2015-03-01,13281.13218722523
2015-03-02,16431.55290725587
2015-03-03,16797.66258408359
2015-03-04,16911.665138282784
2015-03-05,16805.842694235118
2015-03-06,16462.759409000926
2015-03-07,14069.431816097662
2015-03-08,12643.374013518109
2015-03-09,15922.971634094112
2015-03-10,16411.22632848027
2015-03-11,16356.555118917258
2015-03-12,16366.095891704115
2015-03-13,16230.018871944809
2015-03-14,14170.672107713306
2015-03-15,13025.158201218035
2015-03-16,16044.24539731688
2015-03-17,15986.05421267552
2015-03-18,15883.211243331305
2015-03-19,15993.951971884931
2015-03-20,15846.201757461662
2015-03-21,13950.890134371917
2015-03-22,12678.011751473994
2015-03-23,15860.620478905608
2015-03-24,16104.066150252725
2015-03-25,15952.376467922822
2015-03-26,16166.309743177568
2015-03-27,16056.639259147381
2015-03-28,13711.389309044618
2015-03-29,12224.209250138907
2015-03-30,16034.900925661208
2015-03-31,16463.517722959747
2015-04-01,16460.860935047283
2015-04-02,16081.020935263057
2015-04-03,12629.616799995687
2015-04-04,12587.116260566081
2015-04-05,11604.9571638949
2015-04-06,11872.620478905606
2015-04-07,15561.55167196207
2015-04-08,15686.74070158215
2015-04-09,15387.94617841095
2015-04-10,15096.264209924428
2015-04-11,13122.835492849861
2015-04-12,11877.901786051432
2015-04-13,15304.843573505379
2015-04-14,15616.72304605111
2015-04-15,15560.29588253381
2015-04-16,15443.75754796878
2015-04-17,15278.47468456854
2015-04-18,12956.675997000775
2015-04-19,11817.683052740036
2015-04-20,15048.522699197872
2015-04-21,15289.819814328332
2015-04-22,15049.036309006859
2015-04-23,14949.054495876062
2015-04-24,14818.312564394411
2015-04-25,12773.766367642856
2015-04-26,11573.476378377505
2015-04-27,15205.552847918612
2015-04-28,15438.731701199154
2015-04-29,15412.741969241726
2015-04-30,15188.966746861872
2015-05-01,11569.079770850305
2015-05-02,11952.700584202266
2015-05-03,11737.39051197264
2015-05-04,14905.720348903073
2015-05-05,15471.460208975033
2015-05-06,15302.05502181993
2015-05-07,15314.327876103811
2015-05-08,14893.936902918857
2015-05-09,12772.973095948346
2015-05-10,11545.582794353253
2015-05-11,14970.419050496008
2015-05-12,15242.96569227699
2015-05-13,14987.763465511569
2015-05-14,11723.813465241854
2015-05-15,13246.505205495712
2015-05-16,12315.777005194708
2015-05-17,11417.037822106908
2015-05-18,14753.041093747475
2015-05-19,15367.178594354333
2015-05-20,15129.476747886785
2015-05-21,15114.178704937403
2015-05-22,14847.11504954661
2015-05-23,12500.542083600803
2015-05-24,10799.641184911077
2015-05-25,11106.08069597208
2015-05-26,14560.249181415573
2015-05-27,15001.08505186616
2015-05-28,15083.224974511953
2015-05-29,14813.668563660787
2015-05-30,12743.88288174085
2015-05-31,11497.596579476864
2015-06-01,14598.049249923133
2015-06-02,15338.865517501796
2015-06-03,15125.236105641896
2015-06-04,12872.26113247852
2015-06-05,14096.376163145093
2015-06-06,12631.29477130882
2015-06-07,11321.460683673085
2015-06-08,14773.139102712794
2015-06-09,15207.295356589944
2015-06-10,15255.472494484335
2015-06-11,15111.683260420434
2015-06-12,15021.976332525988
2015-06-13,12730.542471990118
2015-06-14,11349.983506939765
2015-06-15,14567.864589682871
2015-06-16,14834.710431489746
2015-06-17,14879.217007136656
2015-06-18,15043.217190542722
2015-06-19,14883.204878061939
2015-06-20,12458.576666432915
2015-06-21,11473.467674680795
2015-06-22,14678.57036050081
2015-06-23,15100.67964084777
2015-06-24,15252.856042420746
2015-06-25,15060.803620651526
2015-06-26,14782.978360781311
2015-06-27,12661.936571169648
2015-06-28,11285.830683834914
2015-06-29,14639.027783321917
2015-06-30,14870.313540762001
2015-07-01,15311.886212718673
2015-07-02,15721.23323048209
2015-07-03,15413.81490282176
2015-07-04,13081.262677944344
2015-07-05,11898.502648599371
2015-07-06,15136.339220308448
2015-07-07,15470.225931999505
2015-07-08,15446.664418144257
2015-07-09,15178.802112945772
2015-07-10,14809.021873870572
2015-07-11,12590.90783036018
2015-07-12,11641.705811275158
2015-07-13,14914.707176032067
2015-07-14,15298.564626364085
2015-07-15,15267.847532918693
2015-07-16,15304.590802185772
2015-07-17,15178.71068502166
2015-07-18,12622.022904181122
2015-07-19,11566.592393503111
2015-07-20,14793.917442995778
2015-07-21,15404.623707391806
2015-07-22,15438.2396038429
2015-07-23,15136.495185590758
2015-07-24,14844.708343897166
2015-07-25,12943.193067250691
2015-07-26,11360.470827646846
2015-07-27,14547.73162298186
2015-07-28,14933.522505003213
2015-07-29,14827.30745869318
2015-07-30,14818.34483307351
2015-07-31,14351.753178588962
2015-08-01,12262.70578430368
2015-08-02,11188.322802768356
2015-08-03,14428.708600126229
2015-08-04,14829.555510003725
2015-08-05,14595.970609177857
2015-08-06,14900.656855341165
2015-08-07,14620.801357744323
2015-08-08,12790.446585680305
2015-08-09,11591.982465840623
2015-08-10,14510.96684126205
2015-08-11,14948.164418144257
2015-08-12,14922.43552467621
2015-08-13,14991.4501620986
2015-08-14,14740.028748900915
2015-08-15,12405.32258969366
2015-08-16,11443.802002362703
2015-08-17,14489.451699472978
2015-08-18,14662.21820736753
2015-08-19,14585.023459793618
2015-08-20,14668.185223944203
2015-08-21,14439.714908755484
2015-08-22,12438.395296713257
2015-08-23,11502.087303984768
2015-08-24,14782.943403045621
2015-08-25,15156.42109493422
2015-08-26,15187.589949886991
2015-08-27,15219.049222951653
2015-08-28,14849.107640480957
2015-08-29,12633.763325259873
2015-08-30,11612.768873293382
2015-08-31,15014.80999670948
2015-09-01,15437.763640826193
2015-09-02,15166.475477530063
2015-09-03,15061.685631213559
2015-09-04,14887.835433512606
2015-09-05,12787.246608336347
2015-09-06,11822.429237624137
2015-09-07,14871.41605396454
2015-09-08,15212.832124111967
2015-09-09,15076.098974544318
2015-09-10,15108.023454399321
2015-09-11,14988.481443621518
2015-09-12,12867.47192268895
2015-09-13,11759.419263570702
2015-09-14,15140.51532519514
2015-09-15,15567.491797972827
2015-09-16,15596.60890274624
2015-09-17,15687.62271214418
2015-09-18,15067.004585151664
2015-09-19,12760.436714118492
2015-09-20,11734.610027456969
2015-09-21,14959.205684509203
2015-09-22,15441.72462118556
2015-09-23,15430.312265010982
2015-09-24,15423.871974474194
2015-09-25,15203.466140003564
2015-09-26,13046.43939508364
2015-09-27,11779.261812159826
2015-09-28,15136.672663325802
2015-09-29,15554.094918033676
2015-09-30,15480.371742519463
2015-10-01,15182.773849531506
2015-10-02,14920.018062800396
2015-10-03,11874.2473581435
2015-10-04,11630.987231701201
2015-10-05,14856.569772522536
2015-10-06,15728.111837243301
2015-10-07,15670.380481279097
2015-10-08,15612.339883806864
2015-10-09,15310.461012725145
2015-10-10,13016.857083519888
2015-10-11,11955.911317772589
2015-10-12,15280.244083805786
2015-10-13,16033.499927177007
2015-10-14,16389.662783672546
2015-10-15,16364.288845674588
2015-10-16,15995.049106974287
2015-10-17,13548.33298450219
2015-10-18,12431.360724669736
2015-10-19,15706.572493944906
2015-10-20,16036.990322632852
2015-10-21,15988.659908512742
2015-10-22,16089.244070320046
2015-10-23,15654.859246632614
2015-10-24,13399.983110459003
2015-10-25,12881.608293190784
2015-10-26,15475.082368203863
2015-10-27,15958.671549403665
2015-10-28,16091.091452198449
2015-10-29,15989.60645643297
2015-10-30,15756.898188055953
2015-10-31,13205.502470587602
2015-11-01,12303.291715440095
2015-11-02,15698.564483415239
2015-11-03,16155.572340207467
2015-11-04,16155.467467000397
2015-11-05,15928.024371429652
2015-11-06,15731.771643264416
2015-11-07,13619.14391172774
2015-11-08,12376.05220869453
2015-11-09,15927.46504765861
2015-11-10,16329.113296400388
2015-11-11,16215.702334651343
2015-11-12,16238.497467377998
2015-11-13,16251.493677885006
2015-11-14,13996.553004353198
2015-11-15,12996.213196066481
2015-11-16,16076.301640944868
2015-11-17,16570.399655304485
2015-11-18,16535.2509965962
2015-11-19,16792.78194636991
2015-11-20,16373.783904499383
2015-11-21,14143.171125951421
2015-11-22,13246.462180590246
2015-11-23,16603.047491382615
2015-11-24,17351.702358925675
2015-11-25,17222.42058517324
2015-11-26,16988.115017180837
2015-11-27,16723.554873476787
2015-11-28,14624.904858103046
2015-11-29,13681.782795971541
2015-11-30,16786.935937339862
2015-12-01,16919.76188767997
2015-12-02,16831.496294118602
2015-12-03,16631.374013518107
2015-12-04,16601.122126863058
2015-12-05,14278.35268986574
2015-12-06,13216.847600347395
2015-12-07,16259.684544262898
2015-12-08,16779.66203925969
2015-12-09,16794.992350888173
2015-12-10,17030.290180762866
2015-12-11,16917.185771465254
2015-12-12,14195.588906090701
2015-12-13,13166.481570387476
2015-12-14,16465.40275163043
2015-12-15,16630.212341070557
2015-12-16,16616.205045285118
2015-12-17,16045.476985235815
2015-12-18,15609.556710234601
2015-12-19,13448.31352457911
2015-12-20,12501.461740955117
2015-12-21,14935.996437067448
2015-12-22,14749.510362442756
2015-12-23,14131.180622609656
2015-12-24,12057.977149761844
2015-12-25,11133.361175093458
2015-12-26,11203.798323452782
2015-12-27,11483.072984825847
2015-12-28,13029.094980068077
2015-12-29,13157.368357598678
2015-12-30,13238.26324704258
2015-12-31,12526.51299216209
2016-01-01,11144.686823070302
2016-01-02,12592.8185433922
2016-01-03,12431.122481606837
2016-01-04,15222.209544158628
2016-01-05,15780.373710814561
2016-01-06,15249.441371984209
2016-01-07,16225.741015955417
2016-01-08,16021.063424354552
2016-01-09,13709.049347168733
2016-01-10,12842.249012044924
2016-01-11,16298.722103653303
2016-01-12,16562.876896208232
2016-01-13,16705.259474063867
2016-01-14,16574.163962973224
2016-01-15,16587.222376974572
2016-01-16,14259.848715940174
2016-01-17,13336.570872057204
2016-01-18,16883.89931566366
2016-01-19,17350.029868097332
2016-01-20,17248.7810307526
2016-01-21,17151.936838098278
2016-01-22,17068.05616584335
2016-01-23,14627.703763890144
2016-01-24,13254.132055365204
2016-01-25,16130.662898670671
2016-01-26,16435.608760396142
2016-01-27,16572.71156367675
2016-01-28,16348.812745814712
2016-01-29,16197.11741530127
2016-01-30,14187.798112728051
2016-01-31,12960.299288801156
2016-02-01,16230.838911126715
2016-02-02,16615.758991826933
2016-02-03,16600.863332254543
2016-02-04,16597.708119989784
2016-02-05,16144.944385763787
2016-02-06,13720.223068798065
2016-02-07,12714.53276755697
2016-02-08,15869.98490225377
2016-02-09,16378.617244626428
2016-02-10,16610.640009188533
2016-02-11,16323.072856286419
2016-02-12,16104.198127460832
2016-02-13,14056.352022496878
2016-02-14,12999.005334662239
2016-02-15,16393.02789245553
2016-02-16,16695.996804140425
