Tag,Strombedarf
2015-01-01,23745.1
2015-01-02,27902.93
2015-01-03,26266.2
2015-01-04,25499.55
2015-01-05,30869.03
2015-01-06,31062.73
2015-01-07,33531.12
2015-01-08,34062.63
2015-01-09,33593.87
2015-01-10,28794.99
2015-01-11,26959.07
2015-01-12,34036.1
2015-01-13,33723.74
2015-01-14,33647.1
2015-01-15,34222.4
2015-01-16,33210.12
2015-01-17,28770.73
2015-01-18,26911.3
2015-01-19,33770.32
2015-01-20,34539.39
2015-01-21,34515.58
2015-01-22,34765.88
2015-01-23,34208.74
2015-01-24,30131.28
2015-01-25,27386.42
2015-01-26,34226.28
2015-01-27,34469.59
2015-01-28,34927.74
2015-01-29,34563.5
2015-01-30,33833.17
2015-01-31,29119.95
2015-02-01,27068.21
2015-02-02,34475.73
2015-02-03,35090.23
2015-02-04,35207.13
2015-02-05,35146.66
2015-02-06,34579.04
2015-02-07,30202.69
2015-02-08,27733.08
2015-02-09,34547.84
2015-02-10,34632.0
2015-02-11,34522.02
2015-02-12,34489.66
2015-02-13,33824.72
2015-02-14,29174.61
2015-02-15,26896.55
2015-02-16,32738.81
2015-02-17,34226.28
2015-02-18,34409.36
2015-02-19,34550.74
2015-02-20,33708.93
2015-02-21,28915.48
2015-02-22,26818.79
2015-02-23,34026.6
2015-02-24,34306.05
2015-02-25,33845.23
2015-02-26,33801.65
2015-02-27,33522.63
2015-02-28,28839.2
2015-03-01,26730.11
2015-03-02,33070.77
2015-03-03,33807.61
2015-03-04,34037.06
2015-03-05,33824.08
2015-03-06,33133.57
2015-03-07,28316.67
2015-03-08,25446.53
2015-03-09,32047.18
2015-03-10,33029.86
2015-03-11,32919.82
2015-03-12,32939.03
2015-03-13,32665.15
2015-03-14,28520.43
2015-03-15,26214.93
2015-03-16,32291.26
2015-03-17,32174.14
2015-03-18,31967.15
2015-03-19,32190.03
2015-03-20,31892.67
2015-03-21,28078.09
2015-03-22,25516.25
2015-03-23,31921.69
2015-03-24,32411.65
2015-03-25,32106.36
2015-03-26,32536.93
2015-03-27,32316.2
2015-03-28,27596.06
2015-03-29,24602.91
2015-03-30,32272.45
2015-03-31,33135.1
2015-04-01,33129.75
2015-04-02,32365.27
2015-04-03,25418.85
2015-04-04,25333.31
2015-04-05,23356.58
2015-04-06,23895.29
2015-04-07,31319.77
2015-04-08,31571.73
2015-04-09,30970.36
2015-04-10,30383.31
2015-04-11,26411.52
2015-04-12,23905.92
2015-04-13,30803.11
2015-04-14,31430.81
2015-04-15,31317.24
2015-04-16,31082.69
2015-04-17,30750.04
2015-04-18,26077.1
2015-04-19,23784.72
2015-04-20,30287.23
2015-04-21,30772.87
2015-04-22,30288.26
2015-04-23,30087.03
2015-04-24,29823.9
2015-04-25,25708.97
2015-04-26,23293.22
2015-04-27,30603.27
2015-04-28,31072.58
2015-04-29,31020.27
2015-04-30,30569.89
2015-05-01,23284.37
2015-05-02,24056.46
2015-05-03,23623.12
2015-05-04,29999.82
2015-05-05,31138.45
2015-05-06,30797.5
2015-05-07,30822.2
2015-05-08,29976.1
2015-05-09,25707.37
2015-05-10,23237.08
2015-05-11,30130.03
2015-05-12,30678.57
2015-05-13,30164.94
2015-05-14,23595.79
2015-05-15,26660.42
2015-05-16,24787.2
2015-05-17,22978.36
2015-05-18,29692.53
2015-05-19,30928.57
2015-05-20,30450.16
2015-05-21,30419.37
2015-05-22,29881.87
2015-05-23,25159.06
2015-05-24,21735.77
2015-05-25,22352.52
2015-05-26,29304.51
2015-05-27,30191.75
2015-05-28,30357.07
2015-05-29,29814.55
2015-05-30,25648.82
2015-05-31,23140.5
2015-06-01,29380.59
2015-06-02,30871.58
2015-06-03,30441.62
2015-06-04,25907.2
2015-06-05,28370.9
2015-06-06,25422.22
2015-06-07,22786.0
2015-06-08,29732.98
2015-06-09,30606.78
2015-06-10,30703.74
2015-06-11,30414.35
2015-06-12,30233.8
2015-06-13,25621.97
2015-06-14,22843.41
2015-06-15,29319.84
2015-06-16,29856.9
2015-06-17,29946.48
2015-06-18,30276.55
2015-06-19,29954.5
2015-06-20,25074.6
2015-06-21,23091.94
2015-06-22,29542.65
2015-06-23,30392.2
2015-06-24,30698.48
2015-06-25,30311.94
2015-06-26,29752.78
2015-06-27,25483.89
2015-06-28,22714.29
2015-06-29,29463.06
2015-06-30,29928.56
2015-07-01,30817.28
2015-07-02,31641.15
2015-07-03,31022.43
2015-07-04,26327.85
2015-07-05,23947.38
2015-07-06,30463.97
2015-07-07,31135.96
2015-07-08,31088.54
2015-07-09,30549.43
2015-07-10,29805.2
2015-07-11,25340.94
2015-07-12,23430.54
2015-07-13,30017.91
2015-07-14,30790.47
2015-07-15,30728.65
2015-07-16,30802.6
2015-07-17,30549.25
2015-07-18,25403.56
2015-07-19,23279.36
2015-07-20,29774.8
2015-07-21,31003.93
2015-07-22,31071.59
2015-07-23,30464.28
2015-07-24,29877.02
2015-07-25,26049.96
2015-07-26,22864.51
2015-07-27,29279.32
2015-07-28,30055.77
2015-07-29,29842.0
2015-07-30,29823.96
2015-07-31,28884.88
2015-08-01,24680.39
2015-08-02,22518.04
2015-08-03,29039.77
2015-08-04,29846.53
2015-08-05,29376.4
2015-08-06,29989.63
2015-08-07,29426.38
2015-08-08,25742.54
2015-08-09,23330.46
2015-08-10,29205.32
2015-08-11,30085.24
2015-08-12,30033.46
2015-08-13,30172.36
2015-08-14,29666.34
2015-08-15,24967.42
2015-08-16,23032.23
2015-08-17,29162.02
2015-08-18,29509.74
2015-08-19,29354.37
2015-08-20,29521.75
2015-08-21,29061.92
2015-08-22,25033.99
2015-08-23,23149.54
2015-08-24,29752.71
2015-08-25,30504.39
2015-08-26,30567.12
2015-08-27,30630.44
2015-08-28,29885.88
2015-08-29,25427.19
2015-08-30,23372.3
2015-08-31,30219.38
2015-09-01,31070.63
2015-09-02,30524.62
2015-09-03,30313.72
2015-09-04,29963.82
2015-09-05,25736.1
2015-09-06,23794.27
2015-09-07,29930.78
2015-09-08,30617.92
2015-09-09,30342.73
2015-09-10,30406.98
2015-09-11,30166.39
2015-09-12,25897.56
2015-09-13,23667.45
2015-09-14,30472.38
2015-09-15,31331.72
2015-09-16,31390.33
2015-09-17,31573.5
2015-09-18,30324.42
2015-09-19,25682.14
2015-09-20,23617.52
2015-09-21,30107.46
2015-09-22,31078.6
2015-09-23,31055.63
2015-09-24,31042.67
2015-09-25,30599.07
2015-09-26,26257.76
2015-09-27,23707.39
2015-09-28,30464.64
2015-09-29,31304.76
2015-09-30,31156.38
2015-10-01,30557.43
2015-10-02,30028.59
2015-10-03,23898.56
2015-10-04,23408.97
2015-10-05,29900.9
2015-10-06,31654.99
2015-10-07,31538.8
2015-10-08,31421.99
2015-10-09,30814.41
2015-10-10,26198.22
2015-10-11,24062.92
2015-10-12,30753.6
2015-10-13,32269.63
2015-10-14,32986.46
2015-10-15,32935.39
2015-10-16,32192.24
2015-10-17,27267.89
2015-10-18,25019.83
2015-10-19,31611.64
2015-10-20,32276.65
2015-10-21,32179.38
2015-10-22,32381.82
2015-10-23,31507.56
2015-10-24,26969.31
2015-10-25,25926.01
2015-10-26,31145.74
2015-10-27,32119.03
2015-10-28,32385.54
2015-10-29,32181.29
2015-10-30,31712.93
2015-10-31,26577.89
2015-11-01,24762.07
2015-11-02,31595.53
2015-11-03,32515.32
2015-11-04,32515.11
2015-11-05,32057.35
2015-11-06,31662.36
2015-11-07,27410.41
2015-11-08,24908.51
2015-11-09,32056.22
2015-11-10,32864.59
2015-11-11,32636.34
2015-11-12,32682.22
2015-11-13,32708.37
2015-11-14,28169.99
2015-11-15,26156.67
2015-11-16,32355.77
2015-11-17,33350.21
2015-11-18,33279.47
