Tag,Strombedarf
2015-01-01,299771.47
2015-01-02,352262.3
2015-01-03,331599.27
2015-01-04,321920.71
2015-01-05,389708.08
2015-01-06,392153.45
2015-01-07,423315.83
2015-01-08,430025.79
2015-01-09,424107.99
2015-01-10,363524.16
2015-01-11,340346.56
2015-01-12,429690.86
2015-01-13,425747.46
2015-01-14,424779.97
2015-01-15,432042.82
2015-01-16,419263.25
2015-01-17,363217.86
2015-01-18,339743.45
2015-01-19,426335.54
2015-01-20,436044.71
2015-01-21,435744.14
2015-01-22,438904.12
2015-01-23,431870.44
2015-01-24,380394.24
2015-01-25,345741.6
2015-01-26,432091.81
2015-01-27,435163.52
2015-01-28,440947.53
2015-01-29,436349.1
2015-01-30,427129.0
2015-01-31,367626.62
2015-02-01,341724.41
2015-02-02,435241.06
2015-02-03,442998.86
2015-02-04,444474.62
2015-02-05,443711.29
2015-02-06,436545.26
2015-02-07,381295.8
2015-02-08,350118.04
2015-02-09,436151.36
2015-02-10,437213.89
2015-02-11,435825.45
2015-02-12,435416.93
2015-02-13,427022.34
2015-02-14,368316.78
2015-02-15,339557.26
2015-02-16,413313.2
2015-02-17,432091.81
2015-02-18,434403.12
2015-02-19,436187.99
2015-02-20,425560.52
2015-02-21,365045.29
2015-02-22,338575.5
2015-02-23,429570.95
2015-02-24,433098.86
2015-02-25,427281.3
2015-02-26,426731.07
2015-02-27,423208.56
2015-02-28,364082.31
2015-03-01,337455.99
2015-03-02,417504.0
2015-03-03,426806.37
2015-03-04,429703.02
2015-03-05,427014.21
2015-03-06,418296.92
2015-03-07,357485.63
2015-03-08,321251.39
2015-03-09,404581.63
2015-03-10,416987.53
2015-03-11,415598.41
2015-03-12,415840.83
2015-03-13,412383.29
2015-03-14,360058.02
2015-03-15,330952.02
2015-03-16,407663.03
2015-03-17,406184.47
2015-03-18,403571.37
2015-03-19,406385.14
2015-03-20,402631.01
2015-03-21,354473.65
2015-03-22,322131.49
2015-03-23,402997.37
2015-03-24,409183.0
2015-03-25,405328.77
2015-03-26,410764.53
2015-03-27,407977.95
2015-03-28,348388.25
2015-03-29,310600.97
2015-03-30,407425.6
2015-03-31,418316.19
2015-04-01,418248.68
2015-04-02,408597.45
2015-04-03,320901.84
2015-04-04,319821.96
2015-04-05,294866.6
2015-04-06,301667.57
2015-04-07,395398.42
2015-04-08,398579.31
2015-04-09,390987.34
2015-04-10,383576.09
2015-04-11,333433.88
2015-04-12,301801.76
2015-04-13,388875.81
2015-04-14,396800.26
2015-04-15,395366.52
2015-04-16,392405.43
2015-04-17,388205.81
2015-04-18,329211.98
2015-04-19,300271.68
2015-04-20,382363.04
2015-04-21,388494.08
2015-04-22,382376.09
2015-04-23,379835.68
2015-04-24,376513.7
2015-04-25,324564.49
2015-04-26,294066.71
2015-04-27,386352.97
2015-04-28,392277.73
2015-04-29,391617.37
2015-04-30,385931.54
2015-05-01,293955.0
2015-05-02,303702.3
2015-05-03,298231.55
2015-05-04,378734.62
2015-05-05,393109.32
2015-05-06,388804.96
2015-05-07,389116.8
2015-05-08,378435.22
2015-05-09,324544.34
2015-05-10,293357.97
2015-05-11,380378.53
2015-05-12,387303.58
2015-05-13,380819.23
2015-05-14,297886.58
2015-05-15,336576.16
2015-05-16,312927.59
2015-05-17,290091.82
2015-05-18,374855.24
2015-05-19,390459.66
2015-05-20,384419.97
2015-05-21,384031.27
2015-05-22,377245.54
2015-05-23,317622.22
2015-05-24,274404.58
2015-05-25,282190.81
2015-05-26,369956.65
2015-05-27,381157.71
2015-05-28,383244.78
2015-05-29,376395.71
2015-05-30,323805.19
2015-05-31,292138.71
2015-06-01,370917.1
2015-06-02,389740.26
2015-06-03,384312.22
2015-06-04,327067.11
2015-06-05,358170.26
2015-06-06,320944.48
2015-06-07,287663.33
2015-06-08,375365.91
2015-06-09,386397.24
2015-06-10,387621.36
2015-06-11,383967.86
2015-06-12,381688.53
2015-06-13,323466.23
2015-06-14,288388.05
2015-06-15,370150.15
2015-06-16,376930.35
2015-06-17,378061.2
2015-06-18,382228.23
2015-06-19,378162.53
2015-06-20,316555.94
2015-06-21,291525.62
2015-06-22,372963.04
2015-06-23,383688.28
2015-06-24,387554.88
2015-06-25,382675.08
2015-06-26,375615.91
2015-06-27,321723.04
2015-06-28,286758.02
2015-06-29,371958.31
2015-06-30,377834.98
2015-07-01,389054.76
2015-07-02,399455.72
2015-07-03,391644.63
2015-07-04,332377.57
2015-07-05,302325.2
2015-07-06,384594.34
2015-07-07,393077.96
2015-07-08,392479.29
2015-07-09,385673.27
2015-07-10,376277.64
2015-07-11,319918.3
2015-07-12,295800.33
2015-07-13,378962.96
2015-07-14,388716.27
2015-07-15,387935.79
