Tag,Strombedarf
2015-01-01,1267097.1
2015-01-02,1488969.37
2015-01-03,1401629.3
2015-01-04,1360719.21
2015-01-05,1647248.1
2015-01-06,1657584.35
2015-01-07,1789303.9
2015-01-08,1817666.08
2015-01-09,1792652.28
2015-01-10,1536571.89
2015-01-11,1438603.01
2015-01-12,1816250.37
2015-01-13,1799582.11
2015-01-14,1795492.66
2015-01-15,1826191.83
2015-01-16,1772174.13
2015-01-17,1535277.18
2015-01-18,1436053.74
2015-01-19,1802067.83
2015-01-20,1843107.31
2015-01-21,1841836.86
2015-01-22,1855193.71
2015-01-23,1825463.18
2015-01-24,1607879.64
2015-01-25,1461407.17
2015-01-26,1826398.9
2015-01-27,1839382.61
2015-01-28,1863830.94
2015-01-29,1844393.92
2015-01-30,1805421.7
2015-01-31,1553912.48
2015-02-01,1444427.01
2015-02-02,1839710.41
2015-02-03,1872501.67
2015-02-04,1878739.52
2015-02-05,1875513.01
2015-02-06,1845223.08
2015-02-07,1611690.39
2015-02-08,1479905.87
2015-02-09,1843558.13
2015-02-10,1848049.3
2015-02-11,1842180.54
2015-02-12,1840453.78
2015-02-13,1804970.88
2015-02-14,1556829.68
2015-02-15,1435266.75
2015-02-16,1747024.02
2015-02-17,1826398.9
2015-02-18,1836168.53
2015-02-19,1843712.93
2015-02-20,1798791.94
2015-02-21,1543001.51
2015-02-22,1431116.95
2015-02-23,1815743.52
2015-02-24,1830655.57
2015-02-25,1806065.44
2015-02-26,1803739.71
2015-02-27,1788850.48
2015-02-28,1538931.12
2015-03-01,1426384.91
2015-03-02,1764738.03
2015-03-03,1804057.97
2015-03-04,1816301.77
2015-03-05,1804936.51
2015-03-06,1768089.59
2015-03-07,1511047.77
2015-03-08,1357890.1
2015-03-09,1710116.74
2015-03-10,1762554.97
2015-03-11,1756683.32
2015-03-12,1757707.99
2015-03-13,1743093.41
2015-03-14,1521920.92
2015-03-15,1398893.47
2015-03-16,1723141.46
2015-03-17,1716891.77
2015-03-18,1705846.5
2015-03-19,1717739.98
2015-03-20,1701871.7
2015-03-21,1498316.48
2015-03-22,1361610.17
2015-03-23,1703420.26
2015-03-24,1729566.17
2015-03-25,1713274.8
2015-03-26,1736251.09
2015-03-27,1724472.55
2015-03-28,1472594.24
2015-03-29,1312872.08
2015-03-30,1722137.87
2015-03-31,1768171.03
2015-04-01,1767885.7
2015-04-02,1727091.13
2015-04-03,1356412.58
2015-04-04,1351848.05
2015-04-05,1246364.81
2015-04-06,1275111.67
2015-04-07,1671300.47
2015-04-08,1684745.69
2015-04-09,1652655.35
2015-04-10,1621328.9
2015-04-11,1409383.95
2015-04-12,1275678.88
2015-04-13,1643730.19
2015-04-14,1677225.84
2015-04-15,1671165.6
2015-04-16,1658649.46
2015-04-17,1640898.19
2015-04-18,1391538.53
2015-04-19,1269211.43
2015-04-20,1616201.49
2015-04-21,1642116.65
2015-04-22,1616256.66
2015-04-23,1605518.67
2015-04-24,1591477.08
2015-04-25,1371894.15
2015-04-26,1242983.79
2015-04-27,1633066.43
2015-04-28,1658109.69
2015-04-29,1655318.41
2015-04-30,1631285.09
2015-05-01,1242511.6
2015-05-02,1283712.22
2015-05-03,1260588.06
2015-05-04,1600864.62
2015-05-05,1661624.71
2015-05-06,1643430.7
2015-05-07,1644748.8
2015-05-08,1599599.08
2015-05-09,1371808.96
2015-05-10,1239988.04
2015-05-11,1607813.21
2015-05-12,1637084.54
2015-05-13,1609675.99
2015-05-14,1259129.9
2015-05-15,1422665.99
2015-05-16,1322706.39
2015-05-17,1226182.39
2015-05-18,1584466.96
2015-05-19,1650424.93
2015-05-20,1624895.91
2015-05-21,1623252.91
2015-05-22,1594570.44
2015-05-23,1342550.04
2015-05-24,1159874.4
2015-05-25,1192785.8
2015-05-26,1563761.24
2015-05-27,1611106.72
2015-05-28,1619928.5
2015-05-29,1590978.31
2015-05-30,1368684.69
2015-05-31,1234834.35
2015-06-01,1567820.94
2015-06-02,1647384.12
2015-06-03,1624440.46
2015-06-04,1382472.43
2015-06-05,1513941.58
2015-06-06,1356592.8
2015-06-07,1215917.47
2015-06-08,1586625.48
2015-06-09,1633253.57
2015-06-10,1638427.77
2015-06-11,1622984.9
2015-06-12,1613350.43
2015-06-13,1367251.93
2015-06-14,1218980.8
2015-06-15,1564579.13
2015-06-16,1593238.2
2015-06-17,1598018.17
2015-06-18,1615631.69
2015-06-19,1598446.47
2015-06-20,1338042.98
2015-06-21,1232242.92
2015-06-22,1576468.86
2015-06-23,1621803.12
2015-06-24,1638146.76
2015-06-25,1617520.46
2015-06-26,1587682.21
2015-06-27,1359883.71
2015-06-28,1212090.83
2015-06-29,1572222.01
2015-06-30,1597061.95
2015-07-01,1644486.56
2015-07-02,1688450.17
2015-07-03,1655433.64
2015-07-04,1404919.06
2015-07-05,1277891.4
2015-07-06,1625632.93
2015-07-07,1661492.15
2015-07-08,1658961.65
2015-07-09,1630193.42
2015-07-10,1590479.26
2015-07-11,1352255.27
2015-07-12,1250311.59
2015-07-13,1601829.79
2015-07-14,1643055.83
2015-07-15,1639756.84
2015-07-16,1643703.04
2015-07-17,1630183.6
2015-07-18,1355597.0
2015-07-19,1242244.46
2015-07-20,1588857.06
2015-07-21,1654446.51
2015-07-22,1658056.84
2015-07-23,1625649.68
2015-07-24,1594311.97
2015-07-25,1390090.47
2015-07-26,1220107.14
2015-07-27,1562416.86
2015-07-28,1603850.55
2015-07-29,1592443.12
2015-07-30,1591480.54
2015-07-31,1541368.9
2015-08-01,1317006.58
2015-08-02,1201618.55
2015-08-03,1549633.87
2015-08-04,1592684.56
2015-08-05,1567597.7
2015-08-06,1600320.8
2015-08-07,1570264.5
2015-08-08,1373685.6
2015-08-09,1244971.33
2015-08-10,1558468.35
2015-08-11,1605423.08
2015-08-12,1602659.81
2015-08-13,1610071.94
2015-08-14,1583069.45
2015-08-15,1332323.53
2015-08-16,1229056.85
2015-08-17,1556157.63
2015-08-18,1574712.64
2015-08-19,1566421.98
2015-08-20,1575353.5
2015-08-21,1550815.94
2015-08-22,1335875.52
2015-08-23,1235316.65
2015-08-24,1587678.45
2015-08-25,1627789.71
2015-08-26,1631137.23
2015-08-27,1634515.93
2015-08-28,1594784.45
2015-08-29,1356857.92
2015-08-30,1247203.78
2015-08-31,1612580.77
2015-09-01,1658005.72
2015-09-02,1628869.55
2015-09-03,1617615.18
2015-09-04,1598943.79
2015-09-05,1373341.92
2015-09-06,1269721.17
2015-09-07,1597180.36
2015-09-08,1633848.22
2015-09-09,1619163.17
2015-09-10,1622591.84
