Tag,Strombedarf
2015-01-01,1096852.75
2015-01-02,1288914.75
2015-01-03,1213309.5
2015-01-04,1177896.0
2015-01-05,1425927.5
2015-01-06,1434875.0
2015-01-07,1548897.0
2015-01-08,1573448.5
2015-01-09,1551795.5
2015-01-10,1330121.5
2015-01-11,1245315.5
2015-01-12,1572223.0
2015-01-13,1557794.25
2015-01-14,1554254.25
2015-01-15,1580828.75
2015-01-16,1534068.75
2015-01-17,1329000.75
2015-01-18,1243108.75
2015-01-19,1559946.0
2015-01-20,1595471.5
2015-01-21,1594371.75
2015-01-22,1605934.0
2015-01-23,1580198.0
2015-01-24,1391848.5
2015-01-25,1265055.75
2015-01-26,1581008.0
2015-01-27,1592247.25
2015-01-28,1613410.75
2015-01-29,1596585.25
2015-01-30,1562849.25
2015-01-31,1345132.25
2015-02-01,1250357.0
2015-02-02,1592531.0
2015-02-03,1620916.5
2015-02-04,1626316.25
2015-02-05,1623523.25
2015-02-06,1597303.0
2015-02-07,1395147.25
2015-02-08,1281069.0
2015-02-09,1595861.75
2015-02-10,1599749.5
2015-02-11,1594669.25
2015-02-12,1593174.5
2015-02-13,1562459.0
2015-02-14,1347657.5
2015-02-15,1242427.5
2015-02-16,1512297.75
2015-02-17,1581008.0
2015-02-18,1589465.0
2015-02-19,1595995.75
2015-02-20,1557110.25
2015-02-21,1335687.25
2015-02-22,1238835.25
2015-02-23,1571784.25
2015-02-24,1584692.75
2015-02-25,1563406.5
2015-02-26,1561393.25
2015-02-27,1548504.5
2015-02-28,1332163.75
2015-03-01,1234739.0
2015-03-02,1527631.75
2015-03-03,1561668.75
2015-03-04,1572267.5
2015-03-05,1562429.25
2015-03-06,1530533.0
2015-03-07,1308026.75
2015-03-08,1175447.0
2015-03-09,1480349.25
2015-03-10,1525742.0
2015-03-11,1520659.25
2015-03-12,1521546.25
2015-03-13,1508895.25
2015-03-14,1317439.0
2015-03-15,1210941.25
2015-03-16,1491624.0
2015-03-17,1486214.0
2015-03-18,1476652.75
2015-03-19,1486948.25
2015-03-20,1473212.0
2015-03-21,1297006.0
2015-03-22,1178667.25
2015-03-23,1474552.5
2015-03-24,1497185.5
2015-03-25,1483083.0
2015-03-26,1502972.25
2015-03-27,1492776.25
2015-03-28,1274739.75
2015-03-29,1136477.5
2015-03-30,1490755.25
2015-03-31,1530603.5
2015-04-01,1530356.5
2015-04-02,1495043.0
2015-04-03,1174168.0
2015-04-04,1170216.75
2015-04-05,1078906.0
2015-04-06,1103790.5
2015-04-07,1446748.25
2015-04-08,1458387.0
2015-04-09,1430608.25
2015-04-10,1403490.75
2015-04-11,1220022.25
2015-04-12,1104281.5
2015-04-13,1422882.25
2015-04-14,1451877.5
2015-04-15,1446631.5
2015-04-16,1435797.0
2015-04-17,1420430.75
2015-04-18,1204574.5
2015-04-19,1098683.0
2015-04-20,1399052.25
2015-04-21,1421485.5
2015-04-22,1399100.0
2015-04-23,1389804.75
2015-04-24,1377649.75
2015-04-25,1187569.5
2015-04-26,1075979.25
2015-04-27,1413651.25
2015-04-28,1435329.75
2015-04-29,1432913.5
2015-04-30,1412109.25
2015-05-01,1075570.5
2015-05-02,1111235.5
2015-05-03,1091218.25
2015-05-04,1385776.0
2015-05-05,1438372.5
2015-05-06,1422623.0
2015-05-07,1423764.0
2015-05-08,1384680.5
2015-05-09,1187495.75
2015-05-10,1073386.0
2015-05-11,1391791.0
2015-05-12,1417129.5
2015-05-13,1393403.5
2015-05-14,1089956.0
2015-05-15,1231519.75
2015-05-16,1144990.5
2015-05-17,1061435.25
2015-05-18,1371581.5
2015-05-19,1428677.5
2015-05-20,1406578.5
2015-05-21,1405156.25
2015-05-22,1380327.5
2015-05-23,1162168.0
2015-05-24,1004036.25
2015-05-25,1032525.75
2015-05-26,1353657.75
2015-05-27,1394642.0
2015-05-28,1402278.5
2015-05-29,1377218.0
2015-05-30,1184791.25
2015-05-31,1068924.75
2015-06-01,1357172.0
2015-06-02,1426045.25
2015-06-03,1406184.25
2015-06-04,1196726.5
2015-06-05,1310531.75
2015-06-06,1174324.0
2015-06-07,1052549.5
2015-06-08,1373450.0
2015-06-09,1413813.25
2015-06-10,1418292.25
2015-06-11,1404924.25
2015-06-12,1396584.25
2015-06-13,1183551.0
2015-06-14,1055201.25
2015-06-15,1354365.75
2015-06-16,1379174.25
2015-06-17,1383312.0
2015-06-18,1398559.0
2015-06-19,1383682.75
2015-06-20,1158266.5
2015-06-21,1066681.5
2015-06-22,1364658.0
2015-06-23,1403901.25
2015-06-24,1418049.0
2015-06-25,1400194.0
2015-06-26,1374364.75
2015-06-27,1177172.75
2015-06-28,1049237.0
2015-06-29,1360981.75
2015-06-30,1382484.25
2015-07-01,1423537.0
2015-07-02,1461593.75
2015-07-03,1433013.25
2015-07-04,1216157.25
2015-07-05,1106196.75
2015-07-06,1407216.5
2015-07-07,1438257.75
2015-07-08,1436067.25
2015-07-09,1411164.25
2015-07-10,1376786.0
2015-07-11,1170569.25
2015-07-12,1082322.5
2015-07-13,1386611.5
2015-07-14,1422298.5
2015-07-15,1419442.75
2015-07-16,1422858.75
2015-07-17,1411155.75
2015-07-18,1173462.0
2015-07-19,1075339.25
2015-07-20,1375381.75
2015-07-21,1432158.75
2015-07-22,1435284.0
2015-07-23,1407231.0
2015-07-24,1380103.75
2015-07-25,1203321.0
2015-07-26,1056176.25
2015-07-27,1352494.0
2015-07-28,1388360.75
2015-07-29,1378486.0
2015-07-30,1377652.75
2015-07-31,1334274.0
2015-08-01,1140056.5
2015-08-02,1040171.75
2015-08-03,1341428.5
2015-08-04,1378695.0
2015-08-05,1356978.75
2015-08-06,1385305.25
2015-08-07,1359287.25
2015-08-08,1189120.25
2015-08-09,1077699.75
2015-08-10,1349076.0
2015-08-11,1389722.0
2015-08-12,1387330.0
2015-08-13,1393746.25
2015-08-14,1370371.75
2015-08-15,1153315.5
2015-08-16,1063923.5
2015-08-17,1347075.75
2015-08-18,1363137.75
2015-08-19,1355961.0
2015-08-20,1363692.5
2015-08-21,1342451.75
2015-08-22,1156390.25
2015-08-23,1069342.25
2015-08-24,1374361.5
2015-08-25,1409083.5
2015-08-26,1411981.25
2015-08-27,1414906.0
2015-08-28,1380512.75
2015-08-29,1174553.5
2015-08-30,1079632.25
2015-08-31,1395918.0
2015-09-01,1435239.75
2015-09-02,1410018.25
2015-09-03,1400276.0
2015-09-04,1384113.25
2015-09-05,1188822.75
2015-09-06,1099124.25
2015-09-07,1382586.75
2015-09-08,1414328.0
2015-09-09,1401616.0
2015-09-10,1404584.0
2015-09-11,1393470.25
2015-09-12,1196281.25
2015-09-13,1093266.25
2015-09-14,1407604.75
2015-09-15,1447300.5
2015-09-16,1450007.5
2015-09-17,1458469.0
2015-09-18,1400770.5
2015-09-19,1186330.25
2015-09-20,1090959.75
2015-09-21,1390748.5
2015-09-22,1435608.0
2015-09-23,1434547.0
2015-09-24,1433948.25
2015-09-25,1413457.25
2015-09-26,1212919.75
2015-09-27,1095111.0
2015-09-28,1407247.5
2015-09-29,1446055.0
2015-09-30,1439201.0
2015-10-01,1411533.5
2015-10-02,1387105.25
2015-10-03,1103941.75
2015-10-04,1081326.0
2015-10-05,1381206.5
2015-10-06,1462233.25
2015-10-07,1456866.0
2015-10-08,1451470.0
2015-10-09,1423404.5
2015-10-10,1210169.5
2015-10-11,1111534.0
2015-10-12,1420595.25
2015-10-13,1490625.0
2015-10-14,1523737.25
