Technologie,Nettonennleistung (elektrische Wirkleistung) in MW,Cluster
Sonne,24329.03036,1
Onshore-Wind,12672.3857,1
Sonne,11365.16269,0
Sonne,10896.44095,0
Onshore-Wind,8771.86797,1
Onshore-Wind,8710.99084,1
Sonne,7902.960074,0
Onshore-Wind,7422.1266,1
Offshore-Wind,7093.468,1
Sonne,6941.061773,0
Onshore-Wind,5418.4676,0
Sonne,4577.625266,0
Sonne,4388.526812,0
Sonne,4253.451118,0
Erdgas,4233.0,1
Sonne,4125.466553,0
Onshore-Wind,4022.1588,0
Sonne,3940.709733,0
Onshore-Wind,3775.00232,0
Sonne,3422.210245,0
Onshore-Wind,2651.285945,0
Sonne,2605.655662,0
Onshore-Wind,2586.68663,0
Biomasse,1904.20028,1
Biomasse,1845.34634,1
Onshore-Wind,1833.370209,0
Onshore-Wind,1823.063443,0
Kernkraft,1410.0,0
Kernkraft,1410.0,0
Kernkraft,1402.0,0
Onshore-Wind,1363.79033,0
Kernkraft,1360.0,0
Kernkraft,1336.0,1
Kernkraft,1310.0,1
Kernkraft,1288.0,1
Kernkraft,1284.0,1
Kernkraft,1275.0,1
Offshore-Wind,1227.475,0
Kohle,1060.0,0
Kohle,1060.0,0
Kohle,1052.0,0
Sonne,948.271605,0
Kohle,944.0,0
Kohle,891.0,0
Kohle,891.0,0
Kohle,875.0,0
Kohle,868.0,0
Kohle,840.0,0
Kohle,834.0,0
Biomasse,825.18992,0
Kohle,800.0,0
Kohle,800.0,0
Kohle,794.0,0
Biomasse,779.29116,0
Kohle,778.0,0
Kohle,765.0,0
Kohle,763.7,0
Kohle,755.0,0
Kohle,755.0,0
Kohle,746.0,0
Kohle,726.0,0
Kohle,726.0,0
Kohle,725.0,0
Kohle,720.0,0
Kohle,715.0,0
Kohle,695.0,0
Kohle,695.0,0
Kohle,690.0,0
Kohle,676.0,0
Kohle,663.0,0
Erdgas,657.0,0
Kohle,656.0,0
Kohle,655.6,0
Kohle,648.0,0
Biomasse,637.4095,0
Kohle,630.0,0
Kohle,628.0,0
Kohle,614.0,0
Kohle,607.0,0
Kohle,604.0,0
Erdgas,595.0,0
Erdgas,580.0,0
Erdgas,576.0,0
Onshore-Wind,544.6372,0
Kohle,522.0,0
Kohle,517.0,0
Kohle,514.0,0
Kohle,500.0,0
Kohle,500.0,0
Kohle,500.0,0
Kohle,500.0,0
Kohle,500.0,0
Kohle,500.0,0
Kohle,500.0,0
Kohle,500.0,0
Kohle,472.0,0
Kohle,460.0,0
Erdgas,452.9,0
Kohle,450.0,0
Kohle,450.0,0
Erdgas,445.0,0
Erdgas,445.0,0
Erdgas,444.5,0
Kohle,435.0,0
Kohle,433.0,0
Erdgas,433.0,0
Erdgas,431.0,0
Erdgas,430.0,0
Kohle,425.0,0
Biomasse,419.4338,0
Erdgas,417.0,0
Erdgas,387.0,0
Erdgas,383.0,0
Biomasse,380.30486,0
Biomasse,378.82075,0
Kohle,370.0,1
Erdgas,359.0,0
Erdgas,359.0,0
Erdgas,355.0,0
Erdgas,355.0,0
Erdgas,355.0,0
Kohle,352.0,1
Kohle,350.0,1
Kohle,345.0,1
Kohle,345.0,1
Kohle,345.0,1
Kohle,345.0,1
Kohle,345.0,1
Erdgas,340.0,0
Erdgas,335.0,0
Erdgas,333.0,0
Sonne,329.464714,0
Kohle,324.0,1
Kohle,323.0,1
Kohle,323.0,1
Kohle,322.0,1
Erdgas,321.0,0
Kohle,321.0,1
Kohle,321.0,1
Kohle,318.0,1
Erdgas,310.0,0
Kohle,310.0,1
Erdgas,308.0,0
Erdgas,308.0,0
Offshore-Wind,305.475,0
Kohle,303.0,1
Kohle,303.0,1
Biomasse,302.89135,0
Erdgas,300.0,0
Kohle,299.0,1
Kohle,297.0,1
Kohle,295.0,1
Kohle,295.0,1
Kohle,294.0,1
Kohle,294.0,1
Erdgas,293.5,0
Erdgas,293.5,0
Kohle,293.0,1
Erdgas,293.0,0
Kohle,292.0,1
Erdgas,291.3,0
Kohle,284.0,1
Kohle,284.0,1
Kohle,283.0,1
Kohle,282.0,1
Kohle,282.0,1
Erdgas,282.0,0
Erdgas,282.0,0
Erdgas,282.0,0
Erdgas,280.0,0
Kohle,280.0,1
Kohle,278.0,1
Erdgas,266.0,0
Biomasse,258.31806,0
Kohle,255.0,1
Erdgas,250.0,0
Kohle,249.0,1
Biomasse,248.0,0
Erdgas,239.0,0
Offshore-Wind,224.1,0
Biomasse,218.3547,0
Biomasse,211.80616,0
Kohle,211.0,1
Erdgas,204.0,0
Erdgas,204.0,0
Onshore-Wind,202.914,0
Kohle,202.5,1
Kohle,202.5,1
Erdgas,200.0,0
Erdgas,200.0,0
Erdgas,194.0,0
Erdgas,190.0,0
Erdgas,189.5,0
Kohle,186.0,1
Erdgas,185.0,0
Erdgas,184.0,0
Erdgas,184.0,0
Kohle,179.0,1
Erdgas,173.0,0
Erdgas,165.5,0
Erdgas,164.0,0
Erdgas,164.0,0
Erdgas,155.0,0
Kohle,154.0,1
Sonne,152.080757,0
Kohle,152.0,1
Kohle,152.0,1
Kohle,149.0,1
Kohle,148.0,1
Erdgas,147.0,0
Erdgas,146.3,0
Erdgas,146.3,0
Erdgas,144.0,0
Erdgas,144.0,0
Erdgas,144.0,0
Kohle,140.0,1
Erdgas,139.7,0
Kohle,138.5,1
Kohle,138.5,1
Kohle,138.0,1
Erdgas,137.0,0
Kohle,137.0,1
Kohle,136.0,1
Kohle,136.0,1
Kohle,136.0,1
Kohle,135.0,1
Kohle,135.0,1
Kohle,133.0,1
Kohle,133.0,1
Kohle,133.0,1
Kohle,132.0,1
Kohle,132.0,1
Kohle,131.0,1
Kohle,130.0,1
Kohle,130.0,1
Kohle,129.0,1
Kohle,129.0,1
Kohle,128.0,1
Erdgas,127.6,0
Erdgas,127.0,0
Kohle,127.0,1
Erdgas,126.0,0
Onshore-Wind,125.4998,0
Kohle,125.0,1
Kohle,125.0,1
Kohle,125.0,1
Kohle,125.0,1
Kohle,124.0,1
Kohle,124.0,1
Kohle,123.0,1
Erdgas,121.0,0
Kohle,120.0,1
Kohle,119.0,1
Erdgas,116.0,0
Kohle,116.0,1
Sonne,115.600246,0
Erdgas,115.0,0
Erdgas,114.0,0
Kohle,113.0,1
Erdgas,112.719,0
Erdgas,112.0,0
Erdgas,110.755,0
Kohle,110.0,1
Erdgas,110.0,0
Erdgas,108.2,0
Erdgas,108.0,0
Kohle,106.0,1
Erdgas,105.978,0
Erdgas,103.0,0
Erdgas,101.0,0
Erdgas,101.0,0
Erdgas,100.0,0
Erdgas,100.0,0
Erdgas,98.1,0
Kohle,98.0,1
Erdgas,97.9,0
Erdgas,97.9,0
Kohle,96.0,1
Kohle,95.0,1
Kohle,95.0,1
Kohle,95.0,1
Biomasse,94.515,0
Kohle,93.0,1
Kohle,92.332,1
Erdgas,90.784,0
Erdgas,90.0,0
Erdgas,89.5,0
Erdgas,89.389,0
Erdgas,89.116,0
Kohle,89.0,1
Erdgas,88.11,0
Kohle,85.0,1
Erdgas,84.0,0
Erdgas,83.0,0
Erdgas,82.0,0
Erdgas,81.0,0
Erdgas,80.0,0
Erdgas,80.0,0
Erdgas,79.7,0
Erdgas,78.302,0
Erdgas,78.157,0
Erdgas,78.0,0
Erdgas,77.567,0
Kohle,75.3,1
Erdgas,75.2,0
Erdgas,75.2,0
Erdgas,75.185,0
Erdgas,74.0,0
Erdgas,74.0,0
Erdgas,73.5,0
Erdgas,72.46,0
Erdgas,72.4156,0
Erdgas,72.0,0
Erdgas,72.0,0
Erdgas,71.5,0
Biomasse,71.0,0
Erdgas,70.0,0
Erdgas,70.0,0
Kohle,70.0,1
Erdgas,68.41,0
Kohle,68.4,1
Kohle,67.0,1
Erdgas,66.7,0
Erdgas,66.321,0
Erdgas,66.02,0
Erdgas,65.0,0
Erdgas,65.0,0
Erdgas,64.7,0
Erdgas,64.603,0
Erdgas,63.54,0
Erdgas,63.5,0
Kohle,63.0,1
Erdgas,62.0,0
Erdgas,62.0,0
Erdgas,62.0,0
Kohle,61.5,1
Kohle,61.5,1
Erdgas,61.127,0
Kohle,61.0,1
Kohle,61.0,1
Kohle,60.4,1
Erdgas,60.0,0
Erdgas,60.0,0
Erdgas,60.0,0
Kohle,60.0,1
Erdgas,59.8,0
Erdgas,58.681,0
Erdgas,58.5,0
Kohle,58.172,1
Erdgas,58.0,0
Erdgas,58.0,0
Erdgas,58.0,0
Erdgas,58.0,0
Erdgas,57.322,0
Erdgas,57.2,0
Erdgas,57.144,0
Erdgas,57.0,0
Erdgas,56.845,0
Erdgas,56.0,0
Erdgas,56.0,0
Erdgas,56.0,0
Kohle,56.0,1
Erdgas,56.0,0
Erdgas,56.0,0
Erdgas,55.77,0
Kohle,55.56,1
Erdgas,55.4,0
Erdgas,55.3,0
Erdgas,55.014,0
Erdgas,55.0,0
Erdgas,55.0,0
Erdgas,55.0,0
Erdgas,55.0,0
Erdgas,55.0,0
Erdgas,55.0,0
Erdgas,54.832533,0
Erdgas,54.0,0
Erdgas,54.0,0
Kohle,54.0,1
Erdgas,54.0,0
Biomasse,53.7,0
Erdgas,53.6,0
Erdgas,53.481,0
Biomasse,53.1,0
Erdgas,53.0,0
Erdgas,53.0,0
Erdgas,53.0,0
Erdgas,53.0,0
Erdgas,52.768,0
Erdgas,52.7,0
Erdgas,52.496,0
Erdgas,52.451,0
Erdgas,52.0,0
Erdgas,52.0,0
Erdgas,51.9,0
Erdgas,51.35,0
Erdgas,51.0,0
Erdgas,50.1,0
Erdgas,50.0,0
Kohle,50.0,1
Erdgas,50.0,0
Erdgas,49.8,0
Erdgas,49.8,0
Sonne,49.68216,0
Erdgas,49.4,0
Erdgas,49.4,0
Biomasse,49.2,0
Biomasse,48.9,0
Erdgas,47.0,0
Erdgas,47.0,0
Erdgas,46.5,0
Erdgas,46.5,0
Biomasse,46.5,0
Biomasse,46.0,0
Erdgas,46.0,0
Kohle,45.99,1
Erdgas,45.8,0
Biomasse,45.762,0
Kohle,45.189,1
Erdgas,45.07,0
Erdgas,45.0,0
Erdgas,45.0,0
Kohle,45.0,1
Kohle,45.0,1
Kohle,45.0,1
Kohle,45.0,1
Erdgas,44.975,0
Erdgas,44.975,0
Erdgas,44.975,0
Kohle,44.5,1
Erdgas,44.328,0
Erdgas,43.412,0
Erdgas,40.9,0
Erdgas,40.9,0
Erdgas,40.428,0
Biomasse,40.4,0
Erdgas,40.2,0
Erdgas,40.0,0
Erdgas,39.7,0
Erdgas,39.5,0
Erdgas,39.186,0
Erdgas,39.137,0
Erdgas,39.12,0
Erdgas,39.078,0
