Tag,Residuallast
2015-01-01,768472.25
2015-01-02,679205.75
2015-01-03,736911.75
2015-01-04,767345.5
2015-01-05,1172036.25
2015-01-06,1292393.25
2015-01-07,1310490.0
2015-01-08,1131985.25
2015-01-09,900819.75
2015-01-10,679079.25
2015-01-11,595527.5
2015-01-12,927555.25
2015-01-13,989571.0
2015-01-14,1127128.0
2015-01-15,1014653.75
2015-01-16,1243796.25
2015-01-17,1173343.75
2015-01-18,1080346.25
2015-01-19,1502904.25
2015-01-20,1567507.0
2015-01-21,1524692.25
2015-01-22,1529502.5
2015-01-23,1537337.0
2015-01-24,1228214.75
2015-01-25,1137210.75
2015-01-26,1351133.75
2015-01-27,1296978.75
2015-01-28,1170997.5
2015-01-29,1151969.5
2015-01-30,1459030.25
2015-01-31,1191630.75
2015-02-01,1105608.75
2015-02-02,1374310.0
2015-02-03,1491976.0
2015-02-04,1552732.25
2015-02-05,1475954.5
2015-02-06,1376421.25
2015-02-07,1083037.5
2015-02-08,816470.0
2015-02-09,1192198.75
2015-02-10,1421897.0
2015-02-11,1539637.25
2015-02-12,1528941.5
2015-02-13,1406086.25
2015-02-14,1163437.75
2015-02-15,982093.0
2015-02-16,1242247.25
2015-02-17,1473207.75
2015-02-18,1421280.5
2015-02-19,1293574.25
2015-02-20,1144866.0
2015-02-21,1007726.25
2015-02-22,1037043.75
2015-02-23,1171808.5
2015-02-24,1213745.0
2015-02-25,1376304.5
2015-02-26,1286352.5
2015-02-27,1340509.5
2015-02-28,1056571.0
2015-03-01,743517.5
2015-03-02,960116.0
2015-03-03,1021959.0
2015-03-04,1119935.5
2015-03-05,1320904.75
2015-03-06,1328957.0
2015-03-07,930736.5
2015-03-08,831270.0
2015-03-09,1288821.25
2015-03-10,1283786.0
2015-03-11,1275677.25
2015-03-12,1346497.25
2015-03-13,1268816.25
2015-03-14,1130311.25
2015-03-15,912207.75
2015-03-16,1037174.75
2015-03-17,1164042.0
2015-03-18,1208774.0
2015-03-19,1303066.25
2015-03-20,1316519.75
2015-03-21,1068312.0
2015-03-22,949388.5
2015-03-23,1291624.5
2015-03-24,1357917.0
2015-03-25,1248754.75
2015-03-26,1342475.0
2015-03-27,1197064.5
2015-03-28,956789.75
2015-03-29,614502.25
2015-03-30,877527.0
2015-03-31,851816.25
2015-04-01,844917.5
2015-04-02,986304.25
2015-04-03,851282.5
2015-04-04,986363.75
2015-04-05,853222.5
2015-04-06,912172.75
2015-04-07,1141910.75
2015-04-08,1241869.75
2015-04-09,1230563.0
2015-04-10,1189871.5
2015-04-11,772731.25
2015-04-12,663179.5
2015-04-13,902057.5
2015-04-14,1076871.75
2015-04-15,960214.5
2015-04-16,1144173.0
2015-04-17,1168049.5
2015-04-18,942961.25
2015-04-19,851362.0
2015-04-20,1079493.75
2015-04-21,997698.5
2015-04-22,1119615.5
2015-04-23,1159591.75
2015-04-24,1126023.0
2015-04-25,943304.25
2015-04-26,872421.75
2015-04-27,1172651.0
2015-04-28,1197466.5
2015-04-29,1095167.25
2015-04-30,1119758.5
2015-05-01,903299.5
2015-05-02,932062.0
2015-05-03,789875.75
2015-05-04,1050895.0
2015-05-05,941913.75
2015-05-06,985032.5
2015-05-07,971413.25
2015-05-08,1165965.5
2015-05-09,803028.5
2015-05-10,632118.0
2015-05-11,1038901.5
2015-05-12,982352.5
2015-05-13,982639.0
2015-05-14,860723.75
2015-05-15,1029790.75
2015-05-16,831944.5
2015-05-17,670560.75
2015-05-18,1043338.0
2015-05-19,1051809.25
2015-05-20,1207419.0
2015-05-21,1190541.5
2015-05-22,1162095.25
2015-05-23,972206.25
2015-05-24,837340.0
2015-05-25,849669.5
2015-05-26,1102264.25
2015-05-27,1150321.75
2015-05-28,975369.5
2015-05-29,1079739.75
2015-05-30,780901.25
2015-05-31,646993.5
2015-06-01,1060855.5
2015-06-02,817305.75
2015-06-03,878425.25
2015-06-04,934235.25
2015-06-05,940656.5
2015-06-06,800225.25
2015-06-07,755991.25
2015-06-08,1096532.25
2015-06-09,1203320.0
2015-06-10,1190694.75
2015-06-11,1172805.75
2015-06-12,1140992.5
2015-06-13,902724.0
2015-06-14,771296.5
2015-06-15,1104683.0
2015-06-16,1150217.75
2015-06-17,1069345.5
2015-06-18,1091205.0
2015-06-19,1056537.5
2015-06-20,907683.5
2015-06-21,884553.25
2015-06-22,1147341.5
2015-06-23,1085398.75
2015-06-24,1094945.5
2015-06-25,1172457.5
2015-06-26,1188801.5
2015-06-27,905805.25
2015-06-28,790577.25
2015-06-29,1126300.75
2015-06-30,1134592.25
2015-07-01,1060784.0
2015-07-02,1026694.75
2015-07-03,1157042.75
2015-07-04,938006.5
2015-07-05,845217.5
2015-07-06,1026185.5
2015-07-07,1153260.5
2015-07-08,897288.5
2015-07-09,851222.75
2015-07-10,937659.75
2015-07-11,927337.25
2015-07-12,827588.75
2015-07-13,1196908.25
2015-07-14,1196395.25
2015-07-15,1203728.25
2015-07-16,1201171.0
2015-07-17,1056480.5
2015-07-18,869893.0
2015-07-19,833377.75
2015-07-20,1103359.0
2015-07-21,1055281.75
2015-07-22,1186764.5
2015-07-23,1195041.5
2015-07-24,1126230.5
2015-07-25,625029.5
2015-07-26,605153.5
2015-07-27,964868.0
2015-07-28,834006.75
2015-07-29,867445.75
2015-07-30,838947.0
2015-07-31,1005932.25
2015-08-01,918897.0
2015-08-02,815759.5
2015-08-03,1012496.0
2015-08-04,1071499.5
2015-08-05,1097095.25
2015-08-06,1095637.75
2015-08-07,1110450.75
2015-08-08,902978.0
2015-08-09,837729.0
2015-08-10,1124122.75
2015-08-11,1140859.25
2015-08-12,1157059.5
