Tag,Pumpspeicher
2015-01-01,25895.5
2015-01-02,27225.0
2015-01-03,24694.25
2015-01-04,24441.75
2015-01-05,25733.25
2015-01-06,22292.75
2015-01-07,14963.5
2015-01-08,20853.5
2015-01-09,18492.75
2015-01-10,21915.75
2015-01-11,23764.75
2015-01-12,22427.0
2015-01-13,16859.0
2015-01-14,21317.0
2015-01-15,23621.0
2015-01-16,18762.75
2015-01-17,21802.5
2015-01-18,22811.75
2015-01-19,16602.75
2015-01-20,19047.25
2015-01-21,20802.0
2015-01-22,20974.0
2015-01-23,19837.0
2015-01-24,19375.75
2015-01-25,18022.5
2015-01-26,16357.75
2015-01-27,18182.5
2015-01-28,18424.75
2015-01-29,22463.75
2015-01-30,21740.25
2015-01-31,16741.5
2015-02-01,20213.75
2015-02-02,16677.75
2015-02-03,18321.25
2015-02-04,16670.0
2015-02-05,15952.75
2015-02-06,17039.5
2015-02-07,18195.0
2015-02-08,29107.5
2015-02-09,21437.5
2015-02-10,15912.5
2015-02-11,14343.5
2015-02-12,16199.25
2015-02-13,14470.0
2015-02-14,26035.25
2015-02-15,23066.25
2015-02-16,19952.5
2015-02-17,17058.0
2015-02-18,18749.0
2015-02-19,18613.75
2015-02-20,22559.0
2015-02-21,21031.75
2015-02-22,17027.75
2015-02-23,19723.75
2015-02-24,22319.25
2015-02-25,18753.75
2015-02-26,22582.5
2015-02-27,14852.25
2015-02-28,16383.25
2015-03-01,22585.75
2015-03-02,26243.75
2015-03-03,24992.5
2015-03-04,17106.75
2015-03-05,21167.0
2015-03-06,16652.75
2015-03-07,22550.75
2015-03-08,26798.0
2015-03-09,15853.25
2015-03-10,20087.75
2015-03-11,20925.0
2015-03-12,16440.5
2015-03-13,12777.0
2015-03-14,13703.75
2015-03-15,21693.5
2015-03-16,18376.0
2015-03-17,22758.5
2015-03-18,23929.5
2015-03-19,20912.25
2015-03-20,24026.5
2015-03-21,18438.75
2015-03-22,22636.5
2015-03-23,20196.25
2015-03-24,20429.75
2015-03-25,21878.75
2015-03-26,20652.75
2015-03-27,24132.75
2015-03-28,15019.75
2015-03-29,23893.0
2015-03-30,24932.75
2015-03-31,19258.75
2015-04-01,19464.25
2015-04-02,25004.0
2015-04-03,19214.5
2015-04-04,17211.25
2015-04-05,22932.0
2015-04-06,17283.75
2015-04-07,15836.0
2015-04-08,16453.75
2015-04-09,21366.0
2015-04-10,20005.0
2015-04-11,16234.75
2015-04-12,24502.25
2015-04-13,24843.75
2015-04-14,20031.75
2015-04-15,25998.25
2015-04-16,23981.5
2015-04-17,18257.25
2015-04-18,24675.25
2015-04-19,17747.25
2015-04-20,20401.5
2015-04-21,23007.75
2015-04-22,14803.25
2015-04-23,21836.0
2015-04-24,20513.0
2015-04-25,15899.75
2015-04-26,13738.25
2015-04-27,15831.25
2015-04-28,17289.5
2015-04-29,21352.25
2015-04-30,18277.5
2015-05-01,18863.5
2015-05-02,15194.25
2015-05-03,18155.0
2015-05-04,19038.0
2015-05-05,19357.75
2015-05-06,15041.25
2015-05-07,18825.0
2015-05-08,16263.0
2015-05-09,16341.0
2015-05-10,28489.25
2015-05-11,17122.5
2015-05-12,18049.75
2015-05-13,16303.5
2015-05-14,23943.0
2015-05-15,17962.75
2015-05-16,14077.0
2015-05-17,21398.25
2015-05-18,23625.25
2015-05-19,19222.25
2015-05-20,20533.75
2015-05-21,17508.75
2015-05-22,17844.5
2015-05-23,15495.25
2015-05-24,14012.75
2015-05-25,16204.75
